Name,GeoID,Total,With cash public assistance or Food Stamps/SNAP,No cash public assistance or Food Stamps/SNAP
"Arecibo Municipio, Puerto Rico",05000US72013,31881.0,12654.0,19227.0
"Arenac County, Michigan",05000US26011,6526.0,1177.0,5349.0
"Arkansas County, Arkansas",05000US05001,8089.0,1166.0,6923.0
"Arlington County, Virginia",05000US51013,92436.0,2794.0,89642.0
"Armstrong County, Pennsylvania",05000US42005,28807.0,3721.0,25086.0
"Armstrong County, Texas",05000US48011,676.0,21.0,655.0
"Aroostook County, Maine",05000US23003,30459.0,6574.0,23885.0
"Arroyo Municipio, Puerto Rico",05000US72015,6265.0,2699.0,3566.0
"Arthur County, Nebraska",05000US31005,177.0,15.0,162.0
"Ascension Parish, Louisiana",05000US22005,36546.0,4396.0,32150.0
"Ashe County, North Carolina",05000US37009,11814.0,1496.0,10318.0
"Ashland County, Ohio",05000US39005,20125.0,1625.0,18500.0
"Ashland County, Wisconsin",05000US55003,6952.0,1252.0,5700.0
"Ashley County, Arkansas",05000US05003,8828.0,1832.0,6996.0
"Ashtabula County, Ohio",05000US39007,38771.0,6482.0,32289.0
"Asotin County, Washington",05000US53003,8880.0,1475.0,7405.0
"Assumption Parish, Louisiana",05000US22007,8590.0,1774.0,6816.0
"Atascosa County, Texas",05000US48013,14940.0,2716.0,12224.0
"Atchison County, Kansas",05000US20005,6096.0,827.0,5269.0
"Atchison County, Missouri",05000US29005,2447.0,243.0,2204.0
"Athens County, Ohio",05000US39009,22496.0,4356.0,18140.0
"Atkinson County, Georgia",05000US13003,2745.0,559.0,2186.0
"Atlantic County, New Jersey",05000US34001,101418.0,9163.0,92255.0
"Atoka County, Oklahoma",05000US40005,5367.0,874.0,4493.0
"Attala County, Mississippi",05000US28007,7308.0,1234.0,6074.0
"Audrain County, Missouri",05000US29007,9426.0,1199.0,8227.0
"Audubon County, Iowa",05000US19009,2670.0,226.0,2444.0
"Auglaize County, Ohio",05000US39011,18297.0,1221.0,17076.0
"Augusta County, Virginia",05000US51015,28021.0,1965.0,26056.0
"Aurora County, South Dakota",05000US46003,1060.0,74.0,986.0
"Austin County, Texas",05000US48015,10502.0,720.0,9782.0
"Autauga County, Alabama",05000US01001,19998.0,2101.0,17897.0
"Avery County, North Carolina",05000US37011,7089.0,1120.0,5969.0
"Avoyelles Parish, Louisiana",05000US22009,15801.0,4260.0,11541.0
"Baca County, Colorado",05000US08009,1675.0,139.0,1536.0
"Bacon County, Georgia",05000US13005,3909.0,522.0,3387.0
"Bailey County, Texas",05000US48017,2414.0,435.0,1979.0
"Baker County, Florida",05000US12003,8333.0,1109.0,7224.0
"Baker County, Georgia",05000US13007,1262.0,261.0,1001.0
"Baker County, Oregon",05000US41001,6997.0,1223.0,5774.0
"Baldwin County, Alabama",05000US01003,70757.0,5283.0,65474.0
"Baldwin County, Georgia",05000US13009,16317.0,1960.0,14357.0
"Ballard County, Kentucky",05000US21007,3358.0,462.0,2896.0
"Baltimore city, Maryland",05000US24510,238959.0,43989.0,194970.0
"Baltimore County, Maryland",05000US24005,315127.0,21438.0,293689.0
"Bamberg County, South Carolina",05000US45009,5742.0,1202.0,4540.0
"Bandera County, Texas",05000US48019,8377.0,989.0,7388.0
"Banks County, Georgia",05000US13011,6583.0,732.0,5851.0
"Banner County, Nebraska",05000US31007,316.0,6.0,310.0
"Bannock County, Idaho",05000US16005,30045.0,3849.0,26196.0
"Baraga County, Michigan",05000US26013,3308.0,418.0,2890.0
"Barber County, Kansas",05000US20007,2305.0,202.0,2103.0
"Barbour County, Alabama",05000US01005,9589.0,2140.0,7449.0
"Barbour County, West Virginia",05000US54001,6210.0,1020.0,5190.0
"Barceloneta Municipio, Puerto Rico",05000US72017,8166.0,3290.0,4876.0
"Barnes County, North Dakota",05000US38003,4758.0,374.0,4384.0
"Barnstable County, Massachusetts",05000US25001,96775.0,6056.0,90719.0
"Barnwell County, South Carolina",05000US45011,8405.0,1683.0,6722.0
"Barranquitas Municipio, Puerto Rico",05000US72019,9095.0,4619.0,4476.0
"Barren County, Kentucky",05000US21009,16708.0,3500.0,13208.0
"Barron County, Wisconsin",05000US55005,19265.0,2357.0,16908.0
"Barrow County, Georgia",05000US13013,23404.0,3244.0,20160.0
"Barry County, Michigan",05000US26015,22831.0,2682.0,20149.0
"Barry County, Missouri",05000US29009,13891.0,2151.0,11740.0
"Bartholomew County, Indiana",05000US18005,30037.0,2855.0,27182.0
"Barton County, Kansas",05000US20009,11241.0,959.0,10282.0
"Barton County, Missouri",05000US29011,4995.0,726.0,4269.0
"Bartow County, Georgia",05000US13015,34477.0,3922.0,30555.0
"Bastrop County, Texas",05000US48021,25522.0,2888.0,22634.0
"Bates County, Missouri",05000US29013,6602.0,1131.0,5471.0
"Bath County, Kentucky",05000US21011,4306.0,1097.0,3209.0
"Bath County, Virginia",05000US51017,1926.0,131.0,1795.0
"Baxter County, Arkansas",05000US05005,18581.0,2092.0,16489.0
"Bayamón Municipio, Puerto Rico",05000US72021,72240.0,19315.0,52925.0
"Bay County, Florida",05000US12005,68819.0,6516.0,62303.0
"Bay County, Michigan",05000US26017,44005.0,7031.0,36974.0
"Bayfield County, Wisconsin",05000US55007,6852.0,798.0,6054.0
"Baylor County, Texas",05000US48023,1723.0,63.0,1660.0
"Beadle County, South Dakota",05000US46005,7298.0,737.0,6561.0
"Bear Lake County, Idaho",05000US16007,2427.0,230.0,2197.0
"Beaufort County, North Carolina",05000US37013,19831.0,2910.0,16921.0
"Beaufort County, South Carolina",05000US45013,64270.0,5679.0,58591.0
"Beauregard Parish, Louisiana",05000US22011,12853.0,2015.0,10838.0
"Beaver County, Oklahoma",05000US40007,2150.0,153.0,1997.0
"Beaver County, Pennsylvania",05000US42007,70198.0,8996.0,61202.0
"Beaver County, Utah",05000US49001,2061.0,155.0,1906.0
"Beaverhead County, Montana",05000US30001,4004.0,230.0,3774.0
"Becker County, Minnesota",05000US27005,13458.0,1469.0,11989.0
"Beckham County, Oklahoma",05000US40009,7715.0,769.0,6946.0
"Bedford city, Virginia",05000US51515,2776.0,523.0,2253.0
"Bedford County, Pennsylvania",05000US42009,20001.0,2435.0,17566.0
"Bedford County, Tennessee",05000US47003,16053.0,2986.0,13067.0
"Bedford County, Virginia",05000US51019,26979.0,2178.0,24801.0
"Bee County, Texas",05000US48025,8507.0,1303.0,7204.0
"Belknap County, New Hampshire",05000US33001,24645.0,1942.0,22703.0
"Bell County, Kentucky",05000US21013,10632.0,2775.0,7857.0
"Bell County, Texas",05000US48027,102547.0,9479.0,93068.0
"Belmont County, Ohio",05000US39013,28747.0,3571.0,25176.0
"Beltrami County, Minnesota",05000US27007,16536.0,2358.0,14178.0
"Benewah County, Idaho",05000US16009,3867.0,505.0,3362.0
"Ben Hill County, Georgia",05000US13017,6344.0,1490.0,4854.0
"Bennett County, South Dakota",05000US46007,1138.0,280.0,858.0
"Bennington County, Vermont",05000US50003,15512.0,2287.0,13225.0
"Benson County, North Dakota",05000US38005,2300.0,547.0,1753.0
"Bent County, Colorado",05000US08011,1975.0,418.0,1557.0
"Benton County, Arkansas",05000US05007,80140.0,6451.0,73689.0
"Benton County, Indiana",05000US18007,3581.0,368.0,3213.0
"Benton County, Iowa",05000US19011,10255.0,895.0,9360.0
"Benton County, Minnesota",05000US27009,15139.0,1502.0,13637.0
"Benton County, Mississippi",05000US28009,3197.0,667.0,2530.0
"Benton County, Missouri",05000US29015,8253.0,1306.0,6947.0
"Benton County, Oregon",05000US41003,33427.0,3807.0,29620.0
"Benton County, Tennessee",05000US47005,7023.0,1470.0,5553.0
"Benton County, Washington",05000US53005,63240.0,8125.0,55115.0
"Benzie County, Michigan",05000US26019,7366.0,839.0,6527.0
"Bergen County, New Jersey",05000US34003,333073.0,13748.0,319325.0
"Berkeley County, South Carolina",05000US45015,62447.0,7811.0,54636.0
"Berkeley County, West Virginia",05000US54003,39303.0,4465.0,34838.0
"Berks County, Pennsylvania",05000US42011,153780.0,17163.0,136617.0
"Berkshire County, Massachusetts",05000US25003,55793.0,6876.0,48917.0
"Bernalillo County, New Mexico",05000US35001,261525.0,27368.0,234157.0
"Berrien County, Georgia",05000US13019,7213.0,1638.0,5575.0
"Berrien County, Michigan",05000US26021,61678.0,9679.0,51999.0
"Bertie County, North Carolina",05000US37015,8018.0,1912.0,6106.0
"Bethel Census Area, Alaska",05000US02050,4295.0,1726.0,2569.0
"Bexar County, Texas",05000US48029,590364.0,75211.0,515153.0
"Bibb County, Alabama",05000US01007,7225.0,861.0,6364.0
"Bibb County, Georgia",05000US13021,57189.0,10249.0,46940.0
"Bienville Parish, Louisiana",05000US22013,5571.0,1205.0,4366.0
"Big Horn County, Montana",05000US30003,3489.0,859.0,2630.0
"Big Horn County, Wyoming",05000US56003,4612.0,246.0,4366.0
"Big Stone County, Minnesota",05000US27011,2395.0,181.0,2214.0
"Billings County, North Dakota",05000US38007,364.0,4.0,360.0
"Bingham County, Idaho",05000US16011,14432.0,1934.0,12498.0
"Blackford County, Indiana",05000US18009,5290.0,851.0,4439.0
"Black Hawk County, Iowa",05000US19013,52002.0,7115.0,44887.0
"Bladen County, North Carolina",05000US37017,13960.0,2961.0,10999.0
"Blaine County, Idaho",05000US16013,9028.0,257.0,8771.0
"Blaine County, Montana",05000US30005,2318.0,386.0,1932.0
"Blaine County, Nebraska",05000US31009,247.0,9.0,238.0
"Blaine County, Oklahoma",05000US40011,4095.0,702.0,3393.0
"Blair County, Pennsylvania",05000US42013,51771.0,7108.0,44663.0
"Blanco County, Texas",05000US48031,4009.0,291.0,3718.0
"Bland County, Virginia",05000US51021,2663.0,263.0,2400.0
"Bleckley County, Georgia",05000US13023,4182.0,594.0,3588.0
"Bledsoe County, Tennessee",05000US47007,4505.0,1008.0,3497.0
"Blount County, Alabama",05000US01009,20954.0,2433.0,18521.0
"Blount County, Tennessee",05000US47009,48464.0,5811.0,42653.0
"Blue Earth County, Minnesota",05000US27013,24045.0,1676.0,22369.0
"Boise County, Idaho",05000US16015,2990.0,285.0,2705.0
"Bolivar County, Mississippi",05000US28011,12396.0,3450.0,8946.0
"Bollinger County, Missouri",05000US29017,4788.0,945.0,3843.0
"Bond County, Illinois",05000US17005,6434.0,597.0,5837.0
"Bon Homme County, South Dakota",05000US46009,2547.0,267.0,2280.0
"Bonner County, Idaho",05000US16017,18399.0,1870.0,16529.0
"Bonneville County, Idaho",05000US16019,35849.0,4013.0,31836.0
"Boone County, Arkansas",05000US05009,14596.0,2091.0,12505.0
"Boone County, Illinois",05000US17007,17960.0,1877.0,16083.0
"Boone County, Indiana",05000US18011,21111.0,1020.0,20091.0
"Boone County, Iowa",05000US19015,10565.0,1095.0,9470.0
"Boone County, Kentucky",05000US21015,41843.0,2801.0,39042.0
"Boone County, Missouri",05000US29019,63790.0,6807.0,56983.0
"Boone County, Nebraska",05000US31011,2374.0,117.0,2257.0
"Boone County, West Virginia",05000US54005,9755.0,1653.0,8102.0
"Borden County, Texas",05000US48033,266.0,15.0,251.0
"Bosque County, Texas",05000US48035,6833.0,784.0,6049.0
"Bossier Parish, Louisiana",05000US22015,43962.0,4981.0,38981.0
"Botetourt County, Virginia",05000US51023,12789.0,495.0,12294.0
"Bottineau County, North Dakota",05000US38009,2999.0,316.0,2683.0
"Boulder County, Colorado",05000US08013,118545.0,5384.0,113161.0
"Boundary County, Idaho",05000US16021,4200.0,308.0,3892.0
"Bourbon County, Kansas",05000US20011,5727.0,544.0,5183.0
"Bourbon County, Kentucky",05000US21017,7933.0,1159.0,6774.0
"Bowie County, Texas",05000US48037,33324.0,4878.0,28446.0
"Bowman County, North Dakota",05000US38011,1317.0,22.0,1295.0
"Box Butte County, Nebraska",05000US31013,4803.0,459.0,4344.0
"Box Elder County, Utah",05000US49003,15891.0,1361.0,14530.0
"Boyd County, Kentucky",05000US21019,19521.0,3436.0,16085.0
"Boyd County, Nebraska",05000US31015,909.0,41.0,868.0
"Boyle County, Kentucky",05000US21021,10916.0,1618.0,9298.0
"Bracken County, Kentucky",05000US21023,3070.0,402.0,2668.0
"Bradford County, Florida",05000US12007,9188.0,1340.0,7848.0
"Bradford County, Pennsylvania",05000US42015,24630.0,2781.0,21849.0
"Bradley County, Arkansas",05000US05011,4906.0,1014.0,3892.0
"Bradley County, Tennessee",05000US47011,37258.0,5579.0,31679.0
"Branch County, Michigan",05000US26023,16078.0,2413.0,13665.0
"Brantley County, Georgia",05000US13025,6735.0,1150.0,5585.0
"Braxton County, West Virginia",05000US54007,6087.0,1160.0,4927.0
"Brazoria County, Texas",05000US48039,103919.0,8695.0,95224.0
"Brazos County, Texas",05000US48041,67612.0,6357.0,61255.0
"Breathitt County, Kentucky",05000US21025,5314.0,1848.0,3466.0
"Breckinridge County, Kentucky",05000US21027,7519.0,1244.0,6275.0
"Bremer County, Iowa",05000US19017,9429.0,572.0,8857.0
"Brevard County, Florida",05000US12009,219669.0,18005.0,201664.0
"Brewster County, Texas",05000US48043,4066.0,340.0,3726.0
"Briscoe County, Texas",05000US48045,656.0,61.0,595.0
"Bristol Bay Borough, Alaska",05000US02060,424.0,28.0,396.0
"Bristol city, Virginia",05000US51520,7873.0,1662.0,6211.0
"Bristol County, Massachusetts",05000US25005,210536.0,28546.0,181990.0
"Bristol County, Rhode Island",05000US44001,19289.0,1295.0,17994.0
"Broadwater County, Montana",05000US30007,1959.0,193.0,1766.0
"Bronx County, New York",05000US36005,471923.0,151232.0,320691.0
"Brooke County, West Virginia",05000US54009,9756.0,1176.0,8580.0
"Brookings County, South Dakota",05000US46011,11597.0,782.0,10815.0
"Brooks County, Georgia",05000US13027,6330.0,1059.0,5271.0
"Brooks County, Texas",05000US48047,2671.0,995.0,1676.0
"Broome County, New York",05000US36007,80257.0,10068.0,70189.0
"Broomfield County, Colorado",05000US08014,20841.0,898.0,19943.0
"Broward County, Florida",05000US12011,665037.0,59890.0,605147.0
"Brown County, Illinois",05000US17009,2128.0,210.0,1918.0
"Brown County, Indiana",05000US18013,6079.0,403.0,5676.0
"Brown County, Kansas",05000US20013,4133.0,574.0,3559.0
"Brown County, Minnesota",05000US27015,10861.0,783.0,10078.0
"Brown County, Nebraska",05000US31017,1395.0,110.0,1285.0
"Brown County, Ohio",05000US39015,16112.0,1770.0,14342.0
"Brown County, South Dakota",05000US46013,15201.0,927.0,14274.0
"Brown County, Texas",05000US48049,13412.0,1632.0,11780.0
"Brown County, Wisconsin",05000US55009,97485.0,8990.0,88495.0
"Brule County, South Dakota",05000US46015,2025.0,233.0,1792.0
"Brunswick County, North Carolina",05000US37019,46733.0,5428.0,41305.0
"Brunswick County, Virginia",05000US51025,6126.0,1572.0,4554.0
"Bryan County, Georgia",05000US13029,10705.0,908.0,9797.0
"Bryan County, Oklahoma",05000US40013,16354.0,1966.0,14388.0
"Buchanan County, Iowa",05000US19019,8175.0,754.0,7421.0
"Buchanan County, Missouri",05000US29021,33662.0,5000.0,28662.0
"Buchanan County, Virginia",05000US51027,9135.0,1919.0,7216.0
"Buckingham County, Virginia",05000US51029,5699.0,993.0,4706.0
"Bucks County, Pennsylvania",05000US42017,229955.0,10186.0,219769.0
"Buena Vista city, Virginia",05000US51530,2681.0,507.0,2174.0
"Buena Vista County, Iowa",05000US19021,7641.0,775.0,6866.0
"Buffalo County, Nebraska",05000US31019,17340.0,1310.0,16030.0
"Buffalo County, South Dakota",05000US46017,551.0,226.0,325.0
"Buffalo County, Wisconsin",05000US55011,5754.0,478.0,5276.0
"Bullitt County, Kentucky",05000US21029,27705.0,3179.0,24526.0
"Bulloch County, Georgia",05000US13031,24826.0,2521.0,22305.0
"Bullock County, Alabama",05000US01011,3760.0,830.0,2930.0
"Buncombe County, North Carolina",05000US37021,100909.0,11015.0,89894.0
"Bureau County, Illinois",05000US17011,14404.0,1290.0,13114.0
"Burke County, Georgia",05000US13033,7745.0,1640.0,6105.0
"Burke County, North Carolina",05000US37023,34996.0,4584.0,30412.0
"Burke County, North Dakota",05000US38013,989.0,32.0,957.0
"Burleigh County, North Dakota",05000US38015,33437.0,2416.0,31021.0
"Burleson County, Texas",05000US48051,6490.0,888.0,5602.0
"Burlington County, New Jersey",05000US34005,165727.0,7469.0,158258.0
"Burnet County, Texas",05000US48053,16477.0,1860.0,14617.0
"Burnett County, Wisconsin",05000US55013,7372.0,919.0,6453.0
"Burt County, Nebraska",05000US31021,2909.0,197.0,2712.0
"Butler County, Alabama",05000US01013,8090.0,1649.0,6441.0
"Butler County, Iowa",05000US19023,6053.0,554.0,5499.0
"Butler County, Kansas",05000US20015,24039.0,1937.0,22102.0
"Butler County, Kentucky",05000US21031,5081.0,1073.0,4008.0
"Butler County, Missouri",05000US29023,17375.0,3873.0,13502.0
"Butler County, Nebraska",05000US31023,3473.0,187.0,3286.0
"Butler County, Ohio",05000US39017,135104.0,15632.0,119472.0
"Butler County, Pennsylvania",05000US42019,72458.0,5729.0,66729.0
"Butte County, California",05000US06007,85219.0,8735.0,76484.0
"Butte County, Idaho",05000US16023,1080.0,88.0,992.0
"Butte County, South Dakota",05000US46019,3989.0,517.0,3472.0
"Butts County, Georgia",05000US13035,7931.0,1124.0,6807.0
"Cabarrus County, North Carolina",05000US37025,64430.0,6284.0,58146.0
"Cabell County, West Virginia",05000US54011,40397.0,6871.0,33526.0
"Cabo Rojo Municipio, Puerto Rico",05000US72023,15525.0,5000.0,10525.0
"Cache County, Utah",05000US49005,34599.0,2711.0,31888.0
"Caddo County, Oklahoma",05000US40015,10296.0,1744.0,8552.0
"Caddo Parish, Louisiana",05000US22017,98270.0,14883.0,83387.0
"Caguas Municipio, Puerto Rico",05000US72025,48246.0,14351.0,33895.0
"Calaveras County, California",05000US06009,18865.0,797.0,18068.0
"Calcasieu Parish, Louisiana",05000US22019,72061.0,12862.0,59199.0
"Caldwell County, Kentucky",05000US21033,5047.0,798.0,4249.0
"Caldwell County, Missouri",05000US29025,3708.0,453.0,3255.0
"Caldwell County, North Carolina",05000US37027,31497.0,3767.0,27730.0
"Caldwell County, Texas",05000US48055,11464.0,1611.0,9853.0
"Caldwell Parish, Louisiana",05000US22021,3834.0,688.0,3146.0
"Caledonia County, Vermont",05000US50005,12615.0,1892.0,10723.0
"Calhoun County, Alabama",05000US01015,45923.0,7380.0,38543.0
"Calhoun County, Arkansas",05000US05013,2037.0,286.0,1751.0
"Calhoun County, Florida",05000US12013,4796.0,944.0,3852.0
"Calhoun County, Georgia",05000US13037,1782.0,431.0,1351.0
"Calhoun County, Illinois",05000US17013,2084.0,260.0,1824.0
"Calhoun County, Iowa",05000US19025,4205.0,366.0,3839.0
"Calhoun County, Michigan",05000US26025,53481.0,9673.0,43808.0
"Calhoun County, Mississippi",05000US28013,5988.0,1214.0,4774.0
"Calhoun County, South Carolina",05000US45017,6155.0,868.0,5287.0
"Calhoun County, Texas",05000US48057,7936.0,1194.0,6742.0
"Calhoun County, West Virginia",05000US54013,3146.0,597.0,2549.0
"Callahan County, Texas",05000US48059,5133.0,569.0,4564.0
"Callaway County, Missouri",05000US29027,16899.0,1776.0,15123.0
"Calloway County, Kentucky",05000US21035,14967.0,1553.0,13414.0
"Calumet County, Wisconsin",05000US55015,18248.0,1113.0,17135.0
"Calvert County, Maryland",05000US24009,30381.0,1843.0,28538.0
"Camas County, Idaho",05000US16025,454.0,59.0,395.0
"Cambria County, Pennsylvania",05000US42021,58428.0,8030.0,50398.0
"Camden County, Georgia",05000US13039,18015.0,1852.0,16163.0
"Camden County, Missouri",05000US29029,18104.0,1945.0,16159.0
"Camden County, New Jersey",05000US34007,190337.0,17797.0,172540.0
"Camden County, North Carolina",05000US37029,3503.0,299.0,3204.0
"Cameron County, Pennsylvania",05000US42023,2133.0,311.0,1822.0
"Cameron County, Texas",05000US48061,114881.0,30739.0,84142.0
"Cameron Parish, Louisiana",05000US22023,2461.0,224.0,2237.0
"Campbell County, Kentucky",05000US21037,35258.0,3080.0,32178.0
"Campbell County, South Dakota",05000US46021,622.0,30.0,592.0
"Campbell County, Tennessee",05000US47013,16027.0,3554.0,12473.0
"Campbell County, Virginia",05000US51031,21610.0,2581.0,19029.0
"Campbell County, Wyoming",05000US56005,16472.0,656.0,15816.0
"Camp County, Texas",05000US48063,4490.0,694.0,3796.0
"Camuy Municipio, Puerto Rico",05000US72027,10796.0,4748.0,6048.0
"Canadian County, Oklahoma",05000US40017,41293.0,3231.0,38062.0
"Candler County, Georgia",05000US13043,3711.0,660.0,3051.0
"Cannon County, Tennessee",05000US47015,5364.0,956.0,4408.0
"Canóvanas Municipio, Puerto Rico",05000US72029,14256.0,4982.0,9274.0
"Canyon County, Idaho",05000US16027,62824.0,10447.0,52377.0
"Cape Girardeau County, Missouri",05000US29031,29452.0,3769.0,25683.0
"Cape May County, New Jersey",05000US34009,44788.0,2786.0,42002.0
"Carbon County, Montana",05000US30009,4265.0,238.0,4027.0
"Carbon County, Pennsylvania",05000US42025,26136.0,2610.0,23526.0
"Carbon County, Utah",05000US49007,7897.0,1326.0,6571.0
"Carbon County, Wyoming",05000US56007,6217.0,390.0,5827.0
"Caribou County, Idaho",05000US16029,2637.0,250.0,2387.0
"Carlisle County, Kentucky",05000US21039,2018.0,271.0,1747.0
"Carlton County, Minnesota",05000US27017,13820.0,1245.0,12575.0
"Carolina Municipio, Puerto Rico",05000US72031,61632.0,14368.0,47264.0
"Caroline County, Maryland",05000US24011,11842.0,1422.0,10420.0
"Caroline County, Virginia",05000US51033,10476.0,1214.0,9262.0
"Carroll County, Arkansas",05000US05015,11418.0,1424.0,9994.0
"Carroll County, Georgia",05000US13045,39473.0,6088.0,33385.0
"Carroll County, Illinois",05000US17015,6893.0,782.0,6111.0
"Carroll County, Indiana",05000US18015,8134.0,511.0,7623.0
"Carroll County, Iowa",05000US19027,8663.0,702.0,7961.0
"Carroll County, Kentucky",05000US21041,4195.0,925.0,3270.0
"Carroll County, Maryland",05000US24013,59314.0,2980.0,56334.0
