address,category,city,description,employees,id,lat,lng,mass_tech_member,name,slug,state,zipcode
PO Box 410,Medical Device,Randolph,,40,725,None,None,False,Aadco Medical Inc,aadco-medical-inc,VT,05060
85 Pine Grove St,Research Products & Instrumentation,Needham,,0,726,None,None,False,Abazyme Llc,abazyme-llc,MA,02494
100 Research Dr,Drug Development,Worcester,,685,727,None,None,True,Abbott Bioresearch Center,abbott-bioresearch-center,MA,01605
100 Research Drive,Drug Development,Worcester,"Abbott Bioresearch Center (ABC) is the local Massachusetts site of Abbott Laboratories, one of the world's leading healthcare companies. Established in 1989, ABC is adjacent to the Worcester Biotechnology Park and the University of Massachusetts Medical Center in Worcester, Massachusetts, 35 miles west of Boston. The 450,000 SF facility is located on a 30-acre landscaped site and houses approximately 775 employees, divided between biopharmaceutical production and drug discovery research.     ABC's production facility is segmented into separate cell culture suites and purification suites, supported by a common production infrastructure.     Together with rigorously developed quality systems (changeover, change control, etc.), this enables ABC to operate as a campaign based facility, with multiple products safely manufactured at the same time in different areas and at different times in the same area. Extensive and validated equipment covering the full range of biopharmaceutical unit operations combine with state-of-the art control systems to enable a broad range of biopharm processes. ABC manufactures both for Abbott and for other companies on a contract manufacturing basis.     In drug discovery research, ABC's mission is to discover new small molecule and biologic therapies for immunological diseases. We are working toward the discovery of anti-inflammatory compounds that alter signal transduction in immune cells and antibodies that target autoimmune     mechanisms. In collaboration with scientists from Abbott discovery     centers we are also developing novel multi-functional Biologics as optimized therapeutic solutions for the treatment of cancer, pain and neurological disorders, Our research group includes highly trained scientists in the disciplines of molecular and cellular biology, pharmacology, medicinal chemistry and biotechnology.     ABC offers prospective employees a complete benefits package including generous paid vacation; matching 401(k) plan, pension plan, tuition reimbursement, medical, dental and life insurance benefits and health and dependent care reimbursement accounts. We are an equal opportunity employer.     ABC is the perfect place to bring your biopharmaceutical career or product.   ",0,5,None,None,False,Abbott Laboratories ,abbott-laboratories,MA,01605
One Kendall Square Building 200,Research Products & Instrumentation,Cambridge,"Abcam, the world’s antibody gateway, was founded in 1998 by CEO Dr. Jonathan Milner, at the time a post-doc in a laboratory in the University of Cambridge, UK.  Jonathan came up with the idea for a web-based antibody company that would sell the best antibodies in the world with the most comprehensive, honest and up-to-date datasheets, fast delivery, helpful customer service and technical support.  In 2003, Abcam Ltd. opened an office in Cambridge, MA, to better serve its US customers.  Today, Abcam offers more than 12,000 antibodies in different research areas, shipping worldwide, with the same commitment and enthusiasm that our CEO had when creating the Company.",0,6,None,None,False,"Abcam, Inc.",abcam-inc,MA,02139
100 Cummings Center Suite 242F,Contract Research & Manufacturing,Beverly,"    Aberjona Laboratories is a collaborative research and development organization dedicated to providing drug discovery services and solutions to biotechnology, pharmaceutical and genomics companies. Aberjona boasts high-speed chemistry capability and expertise in small molecule drug discovery and organic synthesis, which enables rapid, first-rate medicinal chemistry and process development. Our credibility and proven track record has made us the best organic and medicinal chemistry team around. We have the ability of designing from concept to accomplishing the synthesis of drug candidates at high-speed and short turnaround time from 3 days to 3 weeks. Our extensive experience in organic synthesis allows us to offer high quality services in any areas. Our hit identification and lead optimization services are able to decrease the cost and compress the preclinical development time for our partners. These have been proven by our several recent patent applications for new drug candidates and publications with our collaborators.     ",0,7,None,None,False,Aberjona Laboratories,aberjona-laboratories,MA,01915
100 Cummings Center Suite 242F,Contract Research & Manufacturing,Beverly,,4,728,None,None,True,Aberjona Laboratories Inc,aberjona-laboratories-inc,MA,01915
22 Cherry Hill Dr,Medical Device,Danvers,,400,8,None,None,True,Abiomed Inc,abiomed-inc,MA,01923
9800 Medical Center Drive Bldg. D,Contract Research & Manufacturing,Rockville,"ABL is a biologics CRO and CMO with over 50 years of experience partnering with clients to meet their preclinical and clinical product development goals.  Our expertise with vaccines and therapeutics includes in vivo and in vitro immunomonitoring and challenge testing, along with cGMP manufacturing utilizing mammalian, microbial and virus systems.",0,9,None,None,False,"Abl, Inc.",abl-inc,MD,020850
683 North Mountain Road,Contract Research & Manufacturing,Newington,,0,10,None,None,False,"Abm Associates, Llc",abm-associates-llc,CT,06111
417 Auburn St,Contract Research & Manufacturing,Portland,,2,729,None,None,False,Abogen Inc,abogen-inc,ME,04103
101 Hartwell Ave,Contract Research & Manufacturing,Lexington,"Abpro is a biotechnology firm founded in Cambridge and recently relocated to Lexington, MA. The company has streamlined all the major steps to produce recombinant proteins and antibodies in a faster and more affordable format, while retaining superior quality. We have significant capabilities for generating custom hybridomas. This is complemented by our high-throughput protein expression platform which can produce recombinant proteins quickly with high quality. Abpro currently sells to leading life sciences researchers worldwide.",0,11,None,None,False,Abpro,abpro,MA,02421
101 Hartwell Ave,Contract Research & Manufacturing,Lexington,,30,730,None,None,True,Abpro Inc,abpro-inc,MA,02421
P.O. Box 382366,Contract Research & Manufacturing,Cambridge,"Absolute Science is a contract science company focused on providing chemistry related outsourcing needs.  With over 40 years combined experience in chemistry, we provide a variety of services including scale-up of starting materials or key intermediates, design and synthesis of chemical libraries and lead development.  Custom synthesis and medicinal chemistry are provided to the biotech, pharmaceutical and academic communities.",0,12,None,None,False,"Absolute Science, Inc.",absolute-science-inc,MA,02238
3 Meadow Dr,Contract Research & Manufacturing,Upton,,1,731,None,None,False,Accelerate Inc,accelerate-inc,MA,01568
300 5th Ave,Disease Foundation,Waltham,,7,732,None,None,True,Accelerated Cure Project For Multiple Sclerosis,accelerated-cure-project-for-multiple-sclerosis,MA,02451
128 Sidney St,Drug Development,Cambridge,,75,13,None,None,True,Acceleron Pharma Inc,acceleron-pharma-inc,MA,02139
220 Marlborough Street,Contract Research & Manufacturing,Boston,"Accovion is a clinical development service organization formed from the global clinical research, medical writing, pharmacovigilance, data management and biostatistics departments of Aventis Pharma in Frankfurt.  Nearly 200 highly-skilled and experience staff members are working on regional and global projects ranging from Phase I to IV studies and global submissions. Accovion staff members are also backed up by 175 CRAs located in more than 25 countries.  Accovion can provide you access to over 3,000 investigator sites and monitoring capacity on 4 continents. You can leverage our experience from managing over 100 international clinical studies in phase II and III and working on over 20 approved submissions in Europe and in the USA.  ",0,14,None,None,False,Accovion Inc.,accovion-inc,MA,02116
P O Box 875,Medical Device,Hyannis,,6,733,None,None,False,Accu-Line Products Inc,accu-line-products-inc,MA,02601
One Industrial Way,Medical Device,Tyngsboro,,25,734,None,None,False,Accuboost,accuboost,MA,01879
1034 Pearl St,Medical Device,Brockton,,50,735,None,None,False,Ace Surgical Supply Co,ace-surgical-supply-co,MA,02301
70 Fargo St Suite 205,Drug Development,Boston,,0,15,None,None,True,Acetylon Pharmaceuticals Inc,acetylon-pharmaceuticals-inc,MA,02210
300 George St,Drug Development,New Haven,,46,736,None,None,False,Achillion Pharmaceuticals Inc,achillion-pharmaceuticals-inc,CT,06511
Shannon Circle,Research Products & Instrumentation,Westford,,2,737,None,None,False,Aclearium Lab Solutions Inc,aclearium-lab-solutions-inc,MA,01886
1 Broadway 14th Floor,Medical Device,Cambridge,,5,738,None,None,False,Acorn Product Development,acorn-product-development,MA,02142
51 Follen,Drug Development,Lexington,,15,739,None,None,False,Acretia Inc,acretia-inc,MA,02421
32 Jungle Rd,Medical Device,Leominster,,32,740,None,None,False,Acromatic Plastics,acromatic-plastics,MA,01453
110 Hartwell Avenue,Drug Development,Lexington,"ActivBiotics, Inc. is a private biopharmaceutical company in Lexington, MA, focused on the discovery, development and commercialization of novel antibiotics to treat serious infections. The Company's lead product candidate, rifalazil, is in Phase 2 clinical trials for the treatment of peptic ulcer disease caused by Helicobacter pylori. ActivBiotics is also investigating the use of rifalazil for Clostridium difficile-associated disease. The Company's lead pre-clinical compound in a pipeline of novel rifamycins, ABI-0043, shows significant potential for the treatment of infections caused by Gram-positive pathogens, including Staphylococcus aureus and MRSA (methicillin-resistant Staphylococcus aureus).  ",0,16,None,None,False,Activbiotics,activbiotics,MA,02421
225 Cedar Hill St Suite 115,Drug Development,Marlborough,,4,741,None,None,False,Acton Pharmaceuticals Inc,acton-pharmaceuticals-inc,MA,01752
200 Upland Rd,Medical Device,Newton,,0,742,None,None,False,Acuitybio Corp,acuitybio-corp,MA,02460
99 Hayden Ave Suite 385,Drug Development,Lexington,,0,17,None,None,True,Acusphere Inc,acusphere-inc,MA,02421
26 Commerce Dr,Medical Device,Danbury,,15,743,None,None,False,Adam Equipment Inc,adam-equipment-inc,CT,06810
1 Kendall Sq B7102,Non-profit Research Institution,Cambridge,,0,744,None,None,False,Addgene Inc,addgene-inc,MA,02139
3 Merrill Industrial Dr,Medical Device,Hampton,,0,745,None,None,False,Adhesive Technologies Inc,adhesive-technologies-inc,NH,03842
7 Lucent Dr,Contract Research & Manufacturing,Lebanon,,0,746,None,None,False,Adimab Inc,adimab-inc,NH,03766
801 Albany Street Suite 112,Drug Development,Boston,"The mission of AdipoGenix is to discover, develop and commercialize novel therapeutics for the treatment of disorders of adipose tissue function such as obesity and diabetes.  The company believes that obesity can be treated effectively and safely at the level of the fat cell, rather than indirectly by modulating central nervous system mechanisms.  AdipoGenix has developed unique, primary, cellular, HTP-screening assays using the culture of human adipocytes and preadipocytes.  These primary cellular screens as well as sub-mitochondrial response screens, and engineered cellular screens are used with a strategy to maximize screening capacity at an early stage in the drug discovery process to identify relevant drug targets and leads.",0,18,None,None,False,"Adipogenix, Inc.",adipogenix-inc,MA,02118
100 Beaver St.,Drug Development,Waltham,,0,19,None,None,False,Adnexus,adnexus,MA,02453
100 Beaver St.,Drug Development,Waltham,,104,747,None,None,True,Adnexus A Bristol-Myers Squibb R&D Co,adnexus-a-bristol-myers-squibb-rd-co,MA,02453
,Contract Research & Manufacturing,,,0,748,None,None,False,Advanced Bioscience Laboratories Inc,advanced-bioscience-laboratories-inc,MA,
PO Box 2504,Research Products & Instrumentation,Acton,,1,749,None,None,False,Advanced Bioscience Technologies Llc,advanced-bioscience-technologies-llc,MA,01720
33 Locke Dr. FL 1,Drug Development,Marlborough,"Advanced Cell Technology, Inc. (OTCBB:ACTC – News) is applying stem cell technology in the field of regenerative medicine to bring effective, patient-specific therapies to the bedside. The company’s Myoblast program is an autologous adult stem cell therapy for the treatment of heart disease. The Myoblast program has successfully completed four Phase I clinical trials and has clearance from the FDA to begin Phase II trials shortly. The company is also rapidly moving towards human clinical trials for its embryonic stem cell therapies including its RPE and HG programs. ACT published positive data from animal studies for its RPE (retinal pigment epithelial) cell program for the treatment of retinal degenerative disorders completed in collaboration with the Casey Eye Institute at Oregon Health and Science University. The company also has GLP Safety Studies in process for its RPE Program. ACT published positive data in the journal NATURE Methods for its HG (hemangioblast) cell program for the treatment of blood and cardiovascular diseases. In August 2006, ACT announced a novel technique to generate embryonic stem cell lines without destroying embryos, a breakthrough in the ethical debate surrounding the industry. Less than one year later, the company announced the creation of a human embryonic stem cell line without destroying the embryo. ACT owns or licenses over 380 patents and patent applications.",0,20,None,None,False,Advanced Cell Technology,advanced-cell-technology,MA,01752
33 Locke Dr,Drug Development,Marlborough,,0,750,None,None,True,Advanced Cell Technology Inc,advanced-cell-technology-inc,MA,01752
2 Technology Way,Medical Device,Norwood,,130,751,None,None,False,Advanced Instruments Inc,advanced-instruments-inc,MA,02062
19 Mitchell Road P.O. Box 549,Contract Research & Manufacturing,Ipswich,,50,752,None,None,False,Advanced Precision Engineering Inc,advanced-precision-engineering-inc,MA,01938
650 Albany St,Drug Development,Boston,,0,21,None,None,False,Advanced Proteome Therapeutics Inc,advanced-proteome-therapeutics-inc,MA,02118
325 Paramount Drive,Drug Development,Raynham,,0,22,None,None,False,"Advanced Technologies & Regenerative Medicine, Llc",advanced-technologies-regenerative-medicine-llc,MA,02767
400 TradeCenter Suite 6990,Human Diagnostic Development,Woburn,,25,23,None,None,True,Advandx Inc,advandx-inc,MA,01801
229 Andover St,Medical Device,Wilmington,,22,753,None,None,False,Advansource Biomaterials Corp,advansource-biomaterials-corp,MA,01887
440 Lexington St,Drug Development,Auburndale,,0,754,None,None,False,Advantagene Inc,advantagene-inc,MA,02466
,Human Diagnostic Development,Westborough,,3,755,None,None,False,Advirna Llc,advirna-llc,MA,
101 Main St Suite 1850,Drug Development,Cambridge,,50,756,None,None,True,Aegerion Pharmaceuticals,aegerion-pharmaceuticals,MA,02142
101 Main Street Suite 1850,Drug Development,Cambridge,"Aegerion Pharmaceuticals aspires to change the way rare, genetic lipid disorders are treated. We are an emerging biopharmaceutical company focused on the development and commercialization of a novel life-altering therapeutic for debilitating and often fatal orphan diseases. The Company’s first product candidate in late-stage clinical development, lomitapide, is a small molecule, once-a-day, oral therapy to treat a severe form of hypercholesterolemia called HoFH.  ",0,24,None,None,False,"Aegerion Pharmaceuticals, Inc",aegerion-pharmaceuticals-inc,MA,02142
10K Gill St,Medical Device,Woburn,,20,25,None,None,True,Aeris Therapeutics Llc,aeris-therapeutics-llc,MA,01801
275 Grove St Suite 2-400,Drug Development,Newton,,0,26,None,None,True,Aesrx Llc,aesrx-llc,MA,02466
300 George St Suite 561,Medical Device,New Haven,,0,757,None,None,False,Affinimark Technologies Inc,affinimark-technologies-inc,CT,06511
528 Rte 13 S,Contract Research & Manufacturing,Milford,,10,27,None,None,True,Affinity Life Sciences Inc,affinity-life-sciences-inc,NH,03055
688 East Main Street,Research Products & Instrumentation,Branford,"Affomix Corporation, located in Branford, CT, is developing technology that permits high throughput production and screening of antibodies, and was founded, in part, on research licensed by Affomix that was developed at a large pharmaceutical company. Two Yale scientists are co-founders.Affomix Corporation will produce comprehensive libraries to isolate antibodies against at least two epitopes of each of the vast majority of proteins in the human proteome (Affomix defines a complete set of these antibodies as an 'affomeTM&rsquo;). With such antibodies in hand, the Company&rsquo;s mission will be to generate high complexity antibody microarrays for simultaneous qualitative and quantitative analyses of literally thousands of different proteins. Such microarrays would be superior not only to existing antibody arrays but also, for many applications, to nucleic acid microarrays.",0,28,None,None,False,Affomix Corporation,affomix-corporation,CT,06405
2 Atlantic Avenue,Human Diagnostic Development,Boston,,18,758,None,None,False,Ag Mednet Inc,ag-mednet-inc,MA,02110
29 Rogers Rd,Contract Research & Manufacturing,Yarmouth,,4,759,None,None,False,Ag Scientific Inc,ag-scientific-inc,ME,04096
7 C Raymond Ave,Medical Device,Salem,,130,760,None,None,False,Agamatrix Inc,agamatrix-inc,NH,03079
"500 Cummings Center, Suite 2450",Research Products & Instrumentation,Beverly,"Agencourt Bioscience Corporation a wholly owned subsidiary of Beckman Coulter Inc. is a leading developer, manufacturer and distributor of reagents, integrated automation systems and related supplies for the life science market.  We offer an array of competitively priced purification products compatible with many of today's high-end automation platforms. Our leading edge technology was developed and proven on 8 billion base pairs at the Whitehead Institute/MIT Center for Genome Research.    <p>  Agencourt's scientists have been instrumental in developing and implementing the technology needed to dramatically increase the througput of DNA Sequencing for Whitehead Institute/MIT. Agencourt offers its customers the following purification products:<p>  PCR Purification Kits<p>  Plasmid DNA Isolation Kits<p>  Sequencing Reaction Purification Kits<p>  Related Services And Supplies<p>  <p>  Agencourt provides industrial scale nucleic acid purification systems built by CCSPackard, a wholly owned subsidiary of Packard BioScience Company.  Agencourt has the most comprehensive integrated solution for nucleic acid purification. Our proprietary technology and industry proven solutions allows our customer to increase speed, reduce cost and improve quality.  <p>  For More information, please visit:  <a href=""http://www.agencourt.com"">www.agencourt.com</a> or <a href=""http://www.beckmancoulter.com"">www.beckmancoulter.com</a>",0,29,None,None,False,Agencourt Bioscience Corporation: A Beckman Coulter Company,agencourt-bioscience-corporation-a-beckman-coulter-company,MA,01915
3 Forbes Road,Drug Development,Lexington,"Agenus is a leading immunology company. Our objective is to combat serious illnesses: cancer, infections, autoimmune disorders and neurological diseases. Using proprietary technologies, our cutting-edge products are designed to improve upon conventional therapies by permitting a better quality of life and reducing side effects.  Our lead products include, Oncophage, QS-21, ATRA-IV and Aroplatin.    In the seven years since its inception, Agenus has achieved important milestones:    -Five products in clinical trials, including pivotal trials     -Five technology platforms     -More than 80 issued patents",0,30,None,None,False,Agenus,agenus,MA,02421
3 Forbes Rd,Drug Development,Lexington,,230,761,None,None,True,Agenus Inc,agenus-inc,MA,02421
11 Audubon Road,Research Products & Instrumentation,Wakefield,,25,762,None,None,True,Agilent Technologies (Formerly Biocius),agilent-technologies-formerly-biocius,MA,01880
279 Locust St,Medical Device,Dover,,50,763,None,None,False,Agility Mfg Inc,agility-mfg-inc,NH,03820
1 Innovation Dr,Contract Research & Manufacturing,Worcester,,63,764,None,None,False,Agilux Laboratories,agilux-laboratories,MA,01605
Biotechnology Three One Innovation Drive,Contract Research & Manufacturing,Worcester,"Agilux Laboratories is a new LC/MS/MS bioanalytical CRO founded by industry veterans who believe that there&rsquo;s a better way to serve clients than current industry standards.  Our founders have over 50 years combined experience at Taylor Technology, Tandem, Advion, Charles River and other labs.  Throughout that time we&rsquo;ve strived to bring the best technology together with the fastest turnaround times and the highest level of service to meet each client&rsquo;s individual needs.  All that we&rsquo;ve learned comes together at Agilux: high throughput, multiplexed UPLCs paired with Sciex API MS/MS systems, a state-of-the-art purpose built facility in Worcester, MA, and operating systems designed to deliver results in half the time of the competition.",0,31,None,None,False,Agilux Laboratories Inc.,agilux-laboratories-inc,MA,01605
38 Sidney Street,Drug Development,Cambridge,"Agios is s biopharmaceutical company at the forefront of one of the most exciting new areas of cancer research:  cancer metabolism.  Cancer metabolism represents a breakthrough understanding of how cancer cells become addicted to using more nutrients than normal cells to ensure their survival and growth.    Agios Pharmaceuticals is developing a deep pipeline of drug candidates that disrupt the growth and survival of cancer based on unique insights of the founders, scientific advisory board as well as building on decades of research in the fields of oncology and metabolism.    The company&rsquo;s initial focus is cancer, particularly targeting three key metabolic pathways &ndash; glycolysis (sugar metabolism), fatty acid metabolism, and autophagy (self-metabolism).  Agios&rsquo; primary focus is in oncology, but the company&rsquo;s platform will also be applicable to other therapeutics areas including autoimmune, inflammatory, and neurological diseases.",0,32,None,None,False,Agios Pharmaceuticals,agios-pharmaceuticals,MA,02139
38 Sidney St 2nd Floor,Drug Development,Cambridge,,78,765,None,None,True,Agios Pharmaceuticals Inc,agios-pharmaceuticals-inc,MA,02139
81 Salem Street,Contract Research & Manufacturing,Wilmington,Agrenetics is a Research &amp; Business Development Company which has developed a new proprietary method for the combinatorial synthesis of herbicides and small molecule drugs.  We are pursuing multiple applications and collaborations with this technology and seeking potential marketing partners for other &ldquo;spin-out&rdquo; technologies developed in-house or with collaborators.  We are also investigating a variety of natural product extracts for biological and industrial utility.  We have combined the resources of our in-house staff with the expertise of contracted experts chosen for their knowledge in specific R&amp;D and market sectors.,0,33,None,None,False,Agrenetics,agrenetics,MA,01887
200 Boston Ave,Agricultural/Industrial Biotechnology,Medford,,20,34,None,None,True,Agrivida Inc,agrivida-inc,MA,02155
2 Union St Suite 501,Drug Development,Portland,,0,766,None,None,False,Aiko Biotechnology Inc,aiko-biotechnology-inc,ME,04101
281 Albany St,Drug Development,Cambridge,,40,35,None,None,True,Aileron Therapeutics Inc,aileron-therapeutics-inc,MA,02139
33 Wales Ave Suite A,Contract Research & Manufacturing,Avon,,15,767,None,None,False,Air Systems Technologies Inc,air-systems-technologies-inc,MA,02322
,Medical Device,,,0,36,None,None,False,"Akrivis Technologies, Llc",akrivis-technologies-llc,,
840 Memorial Drive,Drug Development,Cambridge,"Alantos is a drug discovery company developing a new combinatorial approach known as dynamic combinatorial chemistry. This approach was pioneered in the laboratory of Jean-Marie Lehn, Nobel Laureate for Chemistry (1987) and one of Alantos's founders, and in various other academic laboratories around the world. Dynamic combinatorial chemistry uses special types of libraries that can ""evolve"" via interaction with the biological target to produce preferentially or exclusively only those library components that bind tightly to the target and can further be converted into drug leads and development candidates. Alantos technology thus accelerates and advances the process of small molecule drug discovery via combination of synthesis and screening in a single step and alleviation of synthesis and handling of inactive compounds.  Alantos has its headquarters in Heidelberg, Germany and a research subsidiary in Cambridge, MA.  ",0,37,None,None,False,"Alantos Pharmaceuticals, Inc.",alantos-pharmaceuticals-inc,MA,02139
3-11 Rue de la Perlerie,Drug Development,Vaulx en Velin,"Alaxia is a company developping airway solutions for respiratory diseases. Recently, its Meveol product, 1st product exiting the pipeline, has been recognised Orphan medicinal product for cystic fibrosis, CF, condition by both FDA & EMA. Meveol is both an antimicrobial and anti inflammatory product, targeting to kills strong bacteria (eg MRSA, P.Aeruginosa,...).",0,38,None,None,False,Alaxia,alaxia,France,069120
25 Litchfield St,Medical Device,Leominster,,18,768,None,None,False,Albright Technologies Inc,albright-technologies-inc,MA,01453
230 Pepe's Farm Rd,Drug Development,Milford,,6,769,None,None,False,Alc Inovators Inc,alc-inovators-inc,CT,06460
11 Knight St #F-23,Medical Device,Warwick,,13,770,None,None,False,Alcor Scientific Inc,alcor-scientific-inc,RI,02886
,Drug Development,Ayer,,0,771,None,None,False,Alcyone Lifesciences Inc,alcyone-lifesciences-inc,MA,
15 Oak St Suite 302,Medical Device,Springvale,,5,772,None,None,False,Alerchek Inc,alerchek-inc,ME,04083
51 Sawyer Rd Suite 200,Human Diagnostic Development,Waltham,,100,773,None,None,False,Alere Inc,alere-inc,MA,02453
100 Technology Way,Drug Development,Smithfield,"Alexion Manufacturing, LLC is a wholly owned subsidiary of Alexion Pharmaceuticals, Inc., a leading biotechnology company.  Alexion Manufacturing, formed in 2006, employs approximately 90 people at its Rhode Island facility and was created primarily to produce Soliris&trade; (eculizumab), a humanized antibody that blocks complement activity.  In 2007, Alexion obtained marketing approval in the U.S. and Europe for Soliris, its first product and the first treatment for paroxysmal nocturnal hemoglobinuria (PNH), a rare, disabling, and life-threatening, acquired genetic deficiency blood disorder defined by hemolysis, or destruction of red blood cells.  Hemolysis in patients with PNH may be associated with severe anemia and life-threatening blood clots, as well as debilitating fatigue, impaired quality of life, renal insufficiency, pain, and shortness of breath.   Alexion is also engaged in the discovery and development of new drug products, including other indications for Soliris as well as novel antibody therapeutics, aimed at treating patients with a wide array of severe disease states, including hematologic diseases, cancer, and autoimmune disorders.",0,39,None,None,False,Alexion Pharmaceuticals,alexion-pharmaceuticals,RI,02917
352 Knotter Dr,Drug Development,Cheshire,,0,774,None,None,True,Alexion Pharmaceuticals Inc,alexion-pharmaceuticals-inc,CT,06410
955 Massachusetts Ave #581,Drug Development,Cambridge,"Alfama, Inc. is the World leader in the development of carbon monoxide releasing molecules (CORMs), effectively controlling all the relevant Intellectual Property in the field. Carbon monoxide (CO) is an endogenous molecule that is less toxic and less reactive than nitric oxide - with which it otherwise shares several properties. CORMs have repeatedly been shown to have striking therapeutic effects, as well as favorable safety profiles, and thus represent one of the most promising approaches to the treatment of various important diseases.  Alfama's current top priority is the treatment of Acute Liver Failure (ALF). Given adequate resources, the Company expects to take its lead molecule through phases I and II of clinical trials for acetaminophen-induced ALF in the next three-and-a-half years.  Alfama has a dual basis in the metropolitan areas of Boston (Mass.) and Lisbon (Portugal), with labs at both sites.  ",0,40,None,None,False,Alfama Inc.,alfama-inc,MA,02139
245 First Street Riverview II 18th Floor,Drug Development,Cambridge,Algeta is a company focused on developing novel targeted therapies for patients with cancer based on its alpha-pharmaceutical platform.  ,0,41,None,None,False,Algeta,algeta,MA,02142
297 High St,Medical Device,Dedham,,220,775,None,None,False,Ali Med Inc,ali-med-inc,MA,02026
852 Winter St,Drug Development,Waltham,,200,776,None,None,True,Alkermes Inc,alkermes-inc,MA,02451
852 Winter Street,Drug Development,Waltham,"Alkermes plc is a fully integrated, global biopharmaceutical company that applies its scientific expertise and proprietary technologies to develop innovative medicines that improve patient outcomes. The company has a diversified portfolio of more than 20 commercial drug products and a substantial clinical pipeline of product candidates that address central nervous system (CNS) disorders such as addiction, schizophrenia and depression. Headquartered in Dublin, Ireland, Alkermes plc has an R&D center in Waltham, Massachusetts and manufacturing facilities in Athlone, Ireland; Gainesville, Georgia; and Wilmington, Ohio. For more information, please visit Alkermes' website at http://www.alkermes.com.   ",0,42,None,None,False,Alkermes Plc,alkermes-plc,MA,02451
6 Clock Tower Pl Suite 225,Human Diagnostic Development,Maynard,,0,43,None,None,True,Allegro Diagnostics Inc,allegro-diagnostics-inc,MA,01754
1 Post Office Sq,Medical Device,Acton,,0,777,None,None,False,Allen Medical Systems,allen-medical-systems,MA,01720
One Newton Executive Pk Suite 202,Drug Development,Newton,,8,778,None,None,False,Allena Pharmaceuticals Inc,allena-pharmaceuticals-inc,MA,02462
