category,name,address,city,state,zipcode,location,employees,id,mass_tech_member,slug,description
Research Products & Instrumentation,Abazyme Llc,85 Pine Grove St,Needham,MA,2494,"85 Pine Grove St, Needham, MA2494",0,726,FALSE,abazyme-llc,
Drug Development,Abbott Bioresearch Center,100 Research Dr,Worcester,MA,1605,"100 Research Dr, Worcester, MA1605",685,727,TRUE,abbott-bioresearch-center,
Drug Development,Abbott Laboratories,100 Research Drive,Worcester,MA,1605,"100 Research Drive, Worcester, MA1605",0,5,FALSE,abbott-laboratories,"Abbott Bioresearch Center (ABC) is the local Massachusetts site of Abbott Laboratories, one of the world's leading healthcare companies. Established in 1989, ABC is adjacent to the Worcester Biotechnology Park and the University of Massachusetts Medical Center in Worcester, Massachusetts, 35 miles west of Boston. The 450,000 SF facility is located on a 30-acre landscaped site and houses approximately 775 employees, divided between biopharmaceutical production and drug discovery research.     ABC's production facility is segmented into separate cell culture suites and purification suites, supported by a common production infrastructure.     Together with rigorously developed quality systems (changeover, change control, etc.), this enables ABC to operate as a campaign based facility, with multiple products safely manufactured at the same time in different areas and at different times in the same area. Extensive and validated equipment covering the full range of biopharmaceutical unit operations combine with state-of-the art control systems to enable a broad range of biopharm processes. ABC manufactures both for Abbott and for other companies on a contract manufacturing basis.     In drug discovery research, ABC's mission is to discover new small molecule and biologic therapies for immunological diseases. We are working toward the discovery of anti-inflammatory compounds that alter signal transduction in immune cells and antibodies that target autoimmune     mechanisms. In collaboration with scientists from Abbott discovery     centers we are also developing novel multi-functional Biologics as optimized therapeutic solutions for the treatment of cancer, pain and neurological disorders, Our research group includes highly trained scientists in the disciplines of molecular and cellular biology, pharmacology, medicinal chemistry and biotechnology.     ABC offers prospective employees a complete benefits package including generous paid vacation; matching 401(k) plan, pension plan, tuition reimbursement, medical, dental and life insurance benefits and health and dependent care reimbursement accounts. We are an equal opportunity employer.     ABC is the perfect place to bring your biopharmaceutical career or product.   "
Research Products & Instrumentation,"Abcam, Inc.",One Kendall Square Building 200,Cambridge,MA,2139,"One Kendall Square Building 200, Cambridge, MA2139",0,6,FALSE,abcam-inc,"Abcam, the world’s antibody gateway, was founded in 1998 by CEO Dr. Jonathan Milner, at the time a post-doc in a laboratory in the University of Cambridge, UK.  Jonathan came up with the idea for a web-based antibody company that would sell the best antibodies in the world with the most comprehensive, honest and up-to-date datasheets, fast delivery, helpful customer service and technical support.  In 2003, Abcam Ltd. opened an office in Cambridge, MA, to better serve its US customers.  Today, Abcam offers more than 12,000 antibodies in different research areas, shipping worldwide, with the same commitment and enthusiasm that our CEO had when creating the Company."
Contract Research & Manufacturing,Aberjona Laboratories,100 Cummings Center Suite 242F,Beverly,MA,1915,"100 Cummings Center Suite 242F, Beverly, MA1915",0,7,FALSE,aberjona-laboratories,"    Aberjona Laboratories is a collaborative research and development organization dedicated to providing drug discovery services and solutions to biotechnology, pharmaceutical and genomics companies. Aberjona boasts high-speed chemistry capability and expertise in small molecule drug discovery and organic synthesis, which enables rapid, first-rate medicinal chemistry and process development. Our credibility and proven track record has made us the best organic and medicinal chemistry team around. We have the ability of designing from concept to accomplishing the synthesis of drug candidates at high-speed and short turnaround time from 3 days to 3 weeks. Our extensive experience in organic synthesis allows us to offer high quality services in any areas. Our hit identification and lead optimization services are able to decrease the cost and compress the preclinical development time for our partners. These have been proven by our several recent patent applications for new drug candidates and publications with our collaborators.     "
Medical Device,Abiomed Inc,22 Cherry Hill Dr,Danvers,MA,1923,"22 Cherry Hill Dr, Danvers, MA1923",400,8,TRUE,abiomed-inc,
Contract Research & Manufacturing,"Abl, Inc.",9800 Medical Center Drive Bldg. D,Rockville,MD,20850,"9800 Medical Center Drive Bldg. D, Rockville, MD20850",0,9,FALSE,abl-inc,"ABL is a biologics CRO and CMO with over 50 years of experience partnering with clients to meet their preclinical and clinical product development goals.  Our expertise with vaccines and therapeutics includes in vivo and in vitro immunomonitoring and challenge testing, along with cGMP manufacturing utilizing mammalian, microbial and virus systems."
Contract Research & Manufacturing,"Abm Associates, Llc",683 North Mountain Road,Newington,CT,6111,"683 North Mountain Road, Newington, CT6111",0,10,FALSE,abm-associates-llc,
Contract Research & Manufacturing,Abogen Inc,417 Auburn St,Portland,ME,4103,"417 Auburn St, Portland, ME4103",2,729,FALSE,abogen-inc,
Contract Research & Manufacturing,Abpro,101 Hartwell Ave,Lexington,MA,2421,"101 Hartwell Ave, Lexington, MA2421",0,11,FALSE,abpro,"Abpro is a biotechnology firm founded in Cambridge and recently relocated to Lexington, MA. The company has streamlined all the major steps to produce recombinant proteins and antibodies in a faster and more affordable format, while retaining superior quality. We have significant capabilities for generating custom hybridomas. This is complemented by our high-throughput protein expression platform which can produce recombinant proteins quickly with high quality. Abpro currently sells to leading life sciences researchers worldwide."
Contract Research & Manufacturing,Abpro Inc,101 Hartwell Ave,Lexington,MA,2421,"101 Hartwell Ave, Lexington, MA2421",30,730,TRUE,abpro-inc,
Contract Research & Manufacturing,"Absolute Science, Inc.",P.O. Box 382366,Cambridge,MA,2238,"P.O. Box 382366, Cambridge, MA2238",0,12,FALSE,absolute-science-inc,"Absolute Science is a contract science company focused on providing chemistry related outsourcing needs.  With over 40 years combined experience in chemistry, we provide a variety of services including scale-up of starting materials or key intermediates, design and synthesis of chemical libraries and lead development.  Custom synthesis and medicinal chemistry are provided to the biotech, pharmaceutical and academic communities."
Contract Research & Manufacturing,Accelerate Inc,3 Meadow Dr,Upton,MA,1568,"3 Meadow Dr, Upton, MA1568",1,731,FALSE,accelerate-inc,
Disease Foundation,Accelerated Cure Project For Multiple Sclerosis,300 5th Ave,Waltham,MA,2451,"300 5th Ave, Waltham, MA2451",7,732,TRUE,accelerated-cure-project-for-multiple-sclerosis,
Drug Development,Acceleron Pharma Inc,128 Sidney St,Cambridge,MA,2139,"128 Sidney St, Cambridge, MA2139",75,13,TRUE,acceleron-pharma-inc,
Contract Research & Manufacturing,Accovion Inc.,220 Marlborough Street,Boston,MA,2116,"220 Marlborough Street, Boston, MA2116",0,14,FALSE,accovion-inc,"Accovion is a clinical development service organization formed from the global clinical research, medical writing, pharmacovigilance, data management and biostatistics departments of Aventis Pharma in Frankfurt.  Nearly 200 highly-skilled and experience staff members are working on regional and global projects ranging from Phase I to IV studies and global submissions. Accovion staff members are also backed up by 175 CRAs located in more than 25 countries.  Accovion can provide you access to over 3,000 investigator sites and monitoring capacity on 4 continents. You can leverage our experience from managing over 100 international clinical studies in phase II and III and working on over 20 approved submissions in Europe and in the USA.  "
Medical Device,Accu-Line Products Inc,P O Box 875,Hyannis,MA,2601,"P O Box 875, Hyannis, MA2601",6,733,FALSE,accu-line-products-inc,
Medical Device,Accuboost,One Industrial Way,Tyngsboro,MA,1879,"One Industrial Way, Tyngsboro, MA1879",25,734,FALSE,accuboost,
Medical Device,Ace Surgical Supply Co,1034 Pearl St,Brockton,MA,2301,"1034 Pearl St, Brockton, MA2301",50,735,FALSE,ace-surgical-supply-co,
Drug Development,Acetylon Pharmaceuticals Inc,70 Fargo St Suite 205,Boston,MA,2210,"70 Fargo St Suite 205, Boston, MA2210",0,15,TRUE,acetylon-pharmaceuticals-inc,
Drug Development,Achillion Pharmaceuticals Inc,300 George St,New Haven,CT,6511,"300 George St, New Haven, CT6511",46,736,FALSE,achillion-pharmaceuticals-inc,
Research Products & Instrumentation,Aclearium Lab Solutions Inc,Shannon Circle,Westford,MA,1886,"Shannon Circle, Westford, MA1886",2,737,FALSE,aclearium-lab-solutions-inc,
Medical Device,Acorn Product Development,1 Broadway 14th Floor,Cambridge,MA,2142,"1 Broadway 14th Floor, Cambridge, MA2142",5,738,FALSE,acorn-product-development,
Drug Development,Acretia Inc,51 Follen,Lexington,MA,2421,"51 Follen, Lexington, MA2421",15,739,FALSE,acretia-inc,
Medical Device,Acromatic Plastics,32 Jungle Rd,Leominster,MA,1453,"32 Jungle Rd, Leominster, MA1453",32,740,FALSE,acromatic-plastics,
Drug Development,Activbiotics,110 Hartwell Avenue,Lexington,MA,2421,"110 Hartwell Avenue, Lexington, MA2421",0,16,FALSE,activbiotics,"ActivBiotics, Inc. is a private biopharmaceutical company in Lexington, MA, focused on the discovery, development and commercialization of novel antibiotics to treat serious infections. The Company's lead product candidate, rifalazil, is in Phase 2 clinical trials for the treatment of peptic ulcer disease caused by Helicobacter pylori. ActivBiotics is also investigating the use of rifalazil for Clostridium difficile-associated disease. The Company's lead pre-clinical compound in a pipeline of novel rifamycins, ABI-0043, shows significant potential for the treatment of infections caused by Gram-positive pathogens, including Staphylococcus aureus and MRSA (methicillin-resistant Staphylococcus aureus).  "
Drug Development,Acton Pharmaceuticals Inc,225 Cedar Hill St Suite 115,Marlborough,MA,1752,"225 Cedar Hill St Suite 115, Marlborough, MA1752",4,741,FALSE,acton-pharmaceuticals-inc,
Medical Device,Acuitybio Corp,200 Upland Rd,Newton,MA,2460,"200 Upland Rd, Newton, MA2460",0,742,FALSE,acuitybio-corp,
Drug Development,Acusphere Inc,99 Hayden Ave Suite 385,Lexington,MA,2421,"99 Hayden Ave Suite 385, Lexington, MA2421",0,17,TRUE,acusphere-inc,
Medical Device,Adam Equipment Inc,26 Commerce Dr,Danbury,CT,6810,"26 Commerce Dr, Danbury, CT6810",15,743,FALSE,adam-equipment-inc,
Non-profit Research Institution,Addgene Inc,1 Kendall Sq B7102,Cambridge,MA,2139,"1 Kendall Sq B7102, Cambridge, MA2139",0,744,FALSE,addgene-inc,
Medical Device,Adhesive Technologies Inc,3 Merrill Industrial Dr,Hampton,NH,3842,"3 Merrill Industrial Dr, Hampton, NH3842",0,745,FALSE,adhesive-technologies-inc,
Contract Research & Manufacturing,Adimab Inc,7 Lucent Dr,Lebanon,NH,3766,"7 Lucent Dr, Lebanon, NH3766",0,746,FALSE,adimab-inc,
Drug Development,"Adipogenix, Inc.",801 Albany Street Suite 112,Boston,MA,2118,"801 Albany Street Suite 112, Boston, MA2118",0,18,FALSE,adipogenix-inc,"The mission of AdipoGenix is to discover, develop and commercialize novel therapeutics for the treatment of disorders of adipose tissue function such as obesity and diabetes.  The company believes that obesity can be treated effectively and safely at the level of the fat cell, rather than indirectly by modulating central nervous system mechanisms.  AdipoGenix has developed unique, primary, cellular, HTP-screening assays using the culture of human adipocytes and preadipocytes.  These primary cellular screens as well as sub-mitochondrial response screens, and engineered cellular screens are used with a strategy to maximize screening capacity at an early stage in the drug discovery process to identify relevant drug targets and leads."
Drug Development,Adnexus,100 Beaver St.,Waltham,MA,2453,"100 Beaver St., Waltham, MA2453",0,19,FALSE,adnexus,
Drug Development,Adnexus A Bristol-Myers Squibb R&D Co,100 Beaver St.,Waltham,MA,2453,"100 Beaver St., Waltham, MA2453",104,747,TRUE,adnexus-a-bristol-myers-squibb-rd-co,
Contract Research & Manufacturing,Advanced Bioscience Laboratories Inc,,,MA,,", , MA",0,748,FALSE,advanced-bioscience-laboratories-inc,
Research Products & Instrumentation,Advanced Bioscience Technologies Llc,PO Box 2504,Acton,MA,1720,"PO Box 2504, Acton, MA1720",1,749,FALSE,advanced-bioscience-technologies-llc,
Drug Development,Advanced Cell Technology,33 Locke Dr. FL 1,Marlborough,MA,1752,"33 Locke Dr. FL 1, Marlborough, MA1752",0,20,FALSE,advanced-cell-technology,"Advanced Cell Technology, Inc. (OTCBB:ACTC – News) is applying stem cell technology in the field of regenerative medicine to bring effective, patient-specific therapies to the bedside. The company’s Myoblast program is an autologous adult stem cell therapy for the treatment of heart disease. The Myoblast program has successfully completed four Phase I clinical trials and has clearance from the FDA to begin Phase II trials shortly. The company is also rapidly moving towards human clinical trials for its embryonic stem cell therapies including its RPE and HG programs. ACT published positive data from animal studies for its RPE (retinal pigment epithelial) cell program for the treatment of retinal degenerative disorders completed in collaboration with the Casey Eye Institute at Oregon Health and Science University. The company also has GLP Safety Studies in process for its RPE Program. ACT published positive data in the journal NATURE Methods for its HG (hemangioblast) cell program for the treatment of blood and cardiovascular diseases. In August 2006, ACT announced a novel technique to generate embryonic stem cell lines without destroying embryos, a breakthrough in the ethical debate surrounding the industry. Less than one year later, the company announced the creation of a human embryonic stem cell line without destroying the embryo. ACT owns or licenses over 380 patents and patent applications."
Drug Development,Advanced Cell Technology Inc,33 Locke Dr,Marlborough,MA,1752,"33 Locke Dr, Marlborough, MA1752",0,750,TRUE,advanced-cell-technology-inc,
Medical Device,Advanced Instruments Inc,2 Technology Way,Norwood,MA,2062,"2 Technology Way, Norwood, MA2062",130,751,FALSE,advanced-instruments-inc,
Contract Research & Manufacturing,Advanced Precision Engineering Inc,19 Mitchell Road P.O. Box 549,Ipswich,MA,1938,"19 Mitchell Road P.O. Box 549, Ipswich, MA1938",50,752,FALSE,advanced-precision-engineering-inc,
Drug Development,Advanced Proteome Therapeutics Inc,650 Albany St,Boston,MA,2118,"650 Albany St, Boston, MA2118",0,21,FALSE,advanced-proteome-therapeutics-inc,
Drug Development,"Advanced Technologies & Regenerative Medicine, Llc",325 Paramount Drive,Raynham,MA,2767,"325 Paramount Drive, Raynham, MA2767",0,22,FALSE,advanced-technologies-regenerative-medicine-llc,
Human Diagnostic Development,Advandx Inc,400 TradeCenter Suite 6990,Woburn,MA,1801,"400 TradeCenter Suite 6990, Woburn, MA1801",25,23,TRUE,advandx-inc,
Medical Device,Advansource Biomaterials Corp,229 Andover St,Wilmington,MA,1887,"229 Andover St, Wilmington, MA1887",22,753,FALSE,advansource-biomaterials-corp,
Drug Development,Advantagene Inc,440 Lexington St,Auburndale,MA,2466,"440 Lexington St, Auburndale, MA2466",0,754,FALSE,advantagene-inc,
Human Diagnostic Development,Advirna Llc,,Westborough,MA,,", Westborough, MA",3,755,FALSE,advirna-llc,
Drug Development,"Aegerion Pharmaceuticals, Inc",101 Main Street Suite 1850,Cambridge,MA,2142,"101 Main Street Suite 1850, Cambridge, MA2142",0,24,FALSE,aegerion-pharmaceuticals-inc,"Aegerion Pharmaceuticals aspires to change the way rare, genetic lipid disorders are treated. We are an emerging biopharmaceutical company focused on the development and commercialization of a novel life-altering therapeutic for debilitating and often fatal orphan diseases. The Company’s first product candidate in late-stage clinical development, lomitapide, is a small molecule, once-a-day, oral therapy to treat a severe form of hypercholesterolemia called HoFH.  "
Medical Device,Aeris Therapeutics Llc,10K Gill St,Woburn,MA,1801,"10K Gill St, Woburn, MA1801",20,25,TRUE,aeris-therapeutics-llc,
Drug Development,Aesrx Llc,275 Grove St Suite 2-400,Newton,MA,2466,"275 Grove St Suite 2-400, Newton, MA2466",0,26,TRUE,aesrx-llc,
Medical Device,Affinimark Technologies Inc,300 George St Suite 561,New Haven,CT,6511,"300 George St Suite 561, New Haven, CT6511",0,757,FALSE,affinimark-technologies-inc,
Contract Research & Manufacturing,Affinity Life Sciences Inc,528 Rte 13 S,Milford,NH,3055,"528 Rte 13 S, Milford, NH3055",10,27,TRUE,affinity-life-sciences-inc,
Research Products & Instrumentation,Affomix Corporation,688 East Main Street,Branford,CT,6405,"688 East Main Street, Branford, CT6405",0,28,FALSE,affomix-corporation,"Affomix Corporation, located in Branford, CT, is developing technology that permits high throughput production and screening of antibodies, and was founded, in part, on research licensed by Affomix that was developed at a large pharmaceutical company. Two Yale scientists are co-founders.Affomix Corporation will produce comprehensive libraries to isolate antibodies against at least two epitopes of each of the vast majority of proteins in the human proteome (Affomix defines a complete set of these antibodies as an 'affomeTM&rsquo;). With such antibodies in hand, the Company&rsquo;s mission will be to generate high complexity antibody microarrays for simultaneous qualitative and quantitative analyses of literally thousands of different proteins. Such microarrays would be superior not only to existing antibody arrays but also, for many applications, to nucleic acid microarrays."
Human Diagnostic Development,Ag Mednet Inc,2 Atlantic Avenue,Boston,MA,2110,"2 Atlantic Avenue, Boston, MA2110",18,758,FALSE,ag-mednet-inc,
Contract Research & Manufacturing,Ag Scientific Inc,29 Rogers Rd,Yarmouth,ME,4096,"29 Rogers Rd, Yarmouth, ME4096",4,759,FALSE,ag-scientific-inc,
Medical Device,Agamatrix Inc,7 C Raymond Ave,Salem,NH,3079,"7 C Raymond Ave, Salem, NH3079",130,760,FALSE,agamatrix-inc,
Research Products & Instrumentation,Agencourt Bioscience Corporation: A Beckman Coulter Company,"500 Cummings Center, Suite 2450",Beverly,MA,1915,"500 Cummings Center, Suite 2450, Beverly, MA1915",0,29,FALSE,agencourt-bioscience-corporation-a-beckman-coulter-company,"Agencourt Bioscience Corporation a wholly owned subsidiary of Beckman Coulter Inc. is a leading developer, manufacturer and distributor of reagents, integrated automation systems and related supplies for the life science market.  We offer an array of competitively priced purification products compatible with many of today's high-end automation platforms. Our leading edge technology was developed and proven on 8 billion base pairs at the Whitehead Institute/MIT Center for Genome Research.    <p>  Agencourt's scientists have been instrumental in developing and implementing the technology needed to dramatically increase the througput of DNA Sequencing for Whitehead Institute/MIT. Agencourt offers its customers the following purification products:<p>  PCR Purification Kits<p>  Plasmid DNA Isolation Kits<p>  Sequencing Reaction Purification Kits<p>  Related Services And Supplies<p>  <p>  Agencourt provides industrial scale nucleic acid purification systems built by CCSPackard, a wholly owned subsidiary of Packard BioScience Company.  Agencourt has the most comprehensive integrated solution for nucleic acid purification. Our proprietary technology and industry proven solutions allows our customer to increase speed, reduce cost and improve quality.  <p>  For More information, please visit:  <a href=""http://www.agencourt.com"">www.agencourt.com</a> or <a href=""http://www.beckmancoulter.com"">www.beckmancoulter.com</a>"
Drug Development,Agenus,3 Forbes Road,Lexington,MA,2421,"3 Forbes Road, Lexington, MA2421",0,30,FALSE,agenus,"Agenus is a leading immunology company. Our objective is to combat serious illnesses: cancer, infections, autoimmune disorders and neurological diseases. Using proprietary technologies, our cutting-edge products are designed to improve upon conventional therapies by permitting a better quality of life and reducing side effects.  Our lead products include, Oncophage, QS-21, ATRA-IV and Aroplatin.    In the seven years since its inception, Agenus has achieved important milestones:    -Five products in clinical trials, including pivotal trials     -Five technology platforms     -More than 80 issued patents"
Drug Development,Agenus Inc,3 Forbes Rd,Lexington,MA,2421,"3 Forbes Rd, Lexington, MA2421",230,761,TRUE,agenus-inc,
Research Products & Instrumentation,Agilent Technologies (Formerly Biocius),11 Audubon Road,Wakefield,MA,1880,"11 Audubon Road, Wakefield, MA1880",25,762,TRUE,agilent-technologies-formerly-biocius,
Medical Device,Agility Mfg Inc,279 Locust St,Dover,NH,3820,"279 Locust St, Dover, NH3820",50,763,FALSE,agility-mfg-inc,
Contract Research & Manufacturing,Agilux Laboratories Inc.,Biotechnology Three One Innovation Drive,Worcester,MA,1605,"Biotechnology Three One Innovation Drive, Worcester, MA1605",0,31,FALSE,agilux-laboratories-inc,"Agilux Laboratories is a new LC/MS/MS bioanalytical CRO founded by industry veterans who believe that there&rsquo;s a better way to serve clients than current industry standards.  Our founders have over 50 years combined experience at Taylor Technology, Tandem, Advion, Charles River and other labs.  Throughout that time we&rsquo;ve strived to bring the best technology together with the fastest turnaround times and the highest level of service to meet each client&rsquo;s individual needs.  All that we&rsquo;ve learned comes together at Agilux: high throughput, multiplexed UPLCs paired with Sciex API MS/MS systems, a state-of-the-art purpose built facility in Worcester, MA, and operating systems designed to deliver results in half the time of the competition."
Drug Development,Agios Pharmaceuticals Inc,38 Sidney St 2nd Floor,Cambridge,MA,2139,"38 Sidney St 2nd Floor, Cambridge, MA2139",78,765,TRUE,agios-pharmaceuticals-inc,
Contract Research & Manufacturing,Agrenetics,81 Salem Street,Wilmington,MA,1887,"81 Salem Street, Wilmington, MA1887",0,33,FALSE,agrenetics,Agrenetics is a Research &amp; Business Development Company which has developed a new proprietary method for the combinatorial synthesis of herbicides and small molecule drugs.  We are pursuing multiple applications and collaborations with this technology and seeking potential marketing partners for other &ldquo;spin-out&rdquo; technologies developed in-house or with collaborators.  We are also investigating a variety of natural product extracts for biological and industrial utility.  We have combined the resources of our in-house staff with the expertise of contracted experts chosen for their knowledge in specific R&amp;D and market sectors.
Agricultural/Industrial Biotechnology,Agrivida Inc,200 Boston Ave,Medford,MA,2155,"200 Boston Ave, Medford, MA2155",20,34,TRUE,agrivida-inc,
Drug Development,Aiko Biotechnology Inc,2 Union St Suite 501,Portland,ME,4101,"2 Union St Suite 501, Portland, ME4101",0,766,FALSE,aiko-biotechnology-inc,
Drug Development,Aileron Therapeutics Inc,281 Albany St,Cambridge,MA,2139,"281 Albany St, Cambridge, MA2139",40,35,TRUE,aileron-therapeutics-inc,
Contract Research & Manufacturing,Air Systems Technologies Inc,33 Wales Ave Suite A,Avon,MA,2322,"33 Wales Ave Suite A, Avon, MA2322",15,767,FALSE,air-systems-technologies-inc,
Medical Device,"Akrivis Technologies, Llc",,,,,", , ",0,36,FALSE,akrivis-technologies-llc,
Drug Development,"Alantos Pharmaceuticals, Inc.",840 Memorial Drive,Cambridge,MA,2139,"840 Memorial Drive, Cambridge, MA2139",0,37,FALSE,alantos-pharmaceuticals-inc,"Alantos is a drug discovery company developing a new combinatorial approach known as dynamic combinatorial chemistry. This approach was pioneered in the laboratory of Jean-Marie Lehn, Nobel Laureate for Chemistry (1987) and one of Alantos's founders, and in various other academic laboratories around the world. Dynamic combinatorial chemistry uses special types of libraries that can ""evolve"" via interaction with the biological target to produce preferentially or exclusively only those library components that bind tightly to the target and can further be converted into drug leads and development candidates. Alantos technology thus accelerates and advances the process of small molecule drug discovery via combination of synthesis and screening in a single step and alleviation of synthesis and handling of inactive compounds.  Alantos has its headquarters in Heidelberg, Germany and a research subsidiary in Cambridge, MA.  "
Drug Development,Alaxia,3-11 Rue de la Perlerie,Vaulx en Velin,France,69120,"3-11 Rue de la Perlerie, Vaulx en Velin, France69120",0,38,FALSE,alaxia,"Alaxia is a company developping airway solutions for respiratory diseases. Recently, its Meveol product, 1st product exiting the pipeline, has been recognised Orphan medicinal product for cystic fibrosis, CF, condition by both FDA & EMA. Meveol is both an antimicrobial and anti inflammatory product, targeting to kills strong bacteria (eg MRSA, P.Aeruginosa,...)."
Medical Device,Albright Technologies Inc,25 Litchfield St,Leominster,MA,1453,"25 Litchfield St, Leominster, MA1453",18,768,FALSE,albright-technologies-inc,
Drug Development,Alc Inovators Inc,230 Pepe's Farm Rd,Milford,CT,6460,"230 Pepe's Farm Rd, Milford, CT6460",6,769,FALSE,alc-inovators-inc,
Medical Device,Alcor Scientific Inc,11 Knight St #F-23,Warwick,RI,2886,"11 Knight St #F-23, Warwick, RI2886",13,770,FALSE,alcor-scientific-inc,
Drug Development,Alcyone Lifesciences Inc,,Ayer,MA,,", Ayer, MA",0,771,FALSE,alcyone-lifesciences-inc,
Medical Device,Alerchek Inc,15 Oak St Suite 302,Springvale,ME,4083,"15 Oak St Suite 302, Springvale, ME4083",5,772,FALSE,alerchek-inc,
Human Diagnostic Development,Alere Inc,51 Sawyer Rd Suite 200,Waltham,MA,2453,"51 Sawyer Rd Suite 200, Waltham, MA2453",100,773,FALSE,alere-inc,
Drug Development,Alexion Pharmaceuticals,100 Technology Way,Smithfield,RI,2917,"100 Technology Way, Smithfield, RI2917",0,39,FALSE,alexion-pharmaceuticals,"Alexion Manufacturing, LLC is a wholly owned subsidiary of Alexion Pharmaceuticals, Inc., a leading biotechnology company.  Alexion Manufacturing, formed in 2006, employs approximately 90 people at its Rhode Island facility and was created primarily to produce Soliris&trade; (eculizumab), a humanized antibody that blocks complement activity.  In 2007, Alexion obtained marketing approval in the U.S. and Europe for Soliris, its first product and the first treatment for paroxysmal nocturnal hemoglobinuria (PNH), a rare, disabling, and life-threatening, acquired genetic deficiency blood disorder defined by hemolysis, or destruction of red blood cells.  Hemolysis in patients with PNH may be associated with severe anemia and life-threatening blood clots, as well as debilitating fatigue, impaired quality of life, renal insufficiency, pain, and shortness of breath.   Alexion is also engaged in the discovery and development of new drug products, including other indications for Soliris as well as novel antibody therapeutics, aimed at treating patients with a wide array of severe disease states, including hematologic diseases, cancer, and autoimmune disorders."
Drug Development,Alexion Pharmaceuticals Inc,352 Knotter Dr,Cheshire,CT,6410,"352 Knotter Dr, Cheshire, CT6410",0,774,TRUE,alexion-pharmaceuticals-inc,
