Name,CompanyName,Subcategory,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,Country,Description
Abpro,ABPRO,Contract Research & Manufacturing,101 Hartwell Ave,,,Lexington,MA,02421,USA,"Abpro is a biotechnology firm founded in Cambridge and recently relocated to Lexington, MA. The company has streamlined all the major steps to produce recombinant proteins and antibodies in a faster and more affordable format, while retaining superior quality. We have significant capabilities for generating custom hybridomas. This is complemented by our high-throughput protein expression platform which can produce recombinant proteins quickly with high quality. Abpro currently sells to leading life sciences researchers worldwide."
"Absolute Science, Inc.","ABSOLUTE SCIENCE, INC.",Contract Research & Manufacturing,P.O. Box 382366,,,Cambridge,MA,02238,USA,"Absolute Science is a contract science company focused on providing chemistry related outsourcing needs.  With over 40 years combined experience in chemistry, we provide a variety of services including scale-up of starting materials or key intermediates, design and synthesis of chemical libraries and lead development.  Custom synthesis and medicinal chemistry are provided to the biotech, pharmaceutical and academic communities."
"Acceleron Pharma, Inc.","ACCELERON PHARMA, INC.",Drug Development,128 Sidney Street,,,Cambridge,MA,02139,USA,Acceleron is a biopharmaceutical company developing drugs for important unmet medical needs through proprietary approaches that exploit the therapeutic potential of a large family of growth and differentiation factors. Drug candidates will include both novel agonists and antagonists. The company was founded in 2003 and builds upon important ongoing research in the laboratories of its academic founders and consultants.
Accovion Inc.,ACCOVION INC.,Contract Research & Manufacturing,220 Marlborough Street,,,Boston,MA,02116,USA,"Accovion is a clinical development service organization formed from the global clinical research, medical writing, pharmacovigilance, data management and biostatistics departments of Aventis Pharma in Frankfurt.  Nearly 200 highly-skilled and experience staff members are working on regional and global projects ranging from Phase I to IV studies and global submissions. Accovion staff members are also backed up by 175 CRAs located in more than 25 countries.  Accovion can provide you access to over 3,000 investigator sites and monitoring capacity on 4 continents. You can leverage our experience from managing over 100 international clinical studies in phase II and III and working on over 20 approved submissions in Europe and in the USA.  "
"Acetylon Pharmaceuticals, Inc.","ACETYLON PHARMACEUTICALS, INC.",Drug Development,70 Fargo Street,Unit 205,,Boston,MA,02110,USA,"Acetylon Pharmaceuticals is developing next generation, isoform selective histone deacetylase (HDAC) inhibitors for the treatment of cancers, inflammatory disorders including autoimmune diseases, neurodegenerative diseases, and other serious disease conditions.  The Company's core drug discovery and development technologies are sourced from Harvard Universiity and the Dana-Farber Cancer Institute.  Acetylon is backed by private investors who participated in a substantial Series A round of financing in the second half of 2009.  The Company is currently preparing for initiation of first-in-man clinical trials of inhibitors of the Class II deacetylase HDAC6, initially in multiple myeloma and subsequently in rhuematoid arthritis."
ActivBiotics,ACTIVBIOTICS,Drug Development,110 Hartwell Avenue,,,Lexington,MA,02421,USA,"ActivBiotics, Inc. is a private biopharmaceutical company in Lexington, MA, focused on the discovery, development and commercialization of novel antibiotics to treat serious infections. The Company's lead product candidate, rifalazil, is in Phase 2 clinical trials for the treatment of peptic ulcer disease caused by Helicobacter pylori. ActivBiotics is also investigating the use of rifalazil for Clostridium difficile-associated disease. The Company's lead pre-clinical compound in a pipeline of novel rifamycins, ABI-0043, shows significant potential for the treatment of infections caused by Gram-positive pathogens, including Staphylococcus aureus and MRSA (methicillin-resistant Staphylococcus aureus).  "
"Acusphere, Inc.","ACUSPHERE, INC.",Drug Development,"99 Hayden Ave., Ste. 385",,,Lexington,MA,02421,USA,"Acusphere is a specialty pharmaceutical company that develops new drugs using our core proprietary microsphere technology. Our technology may be applied to drug targets in a wide variety of clinical applications and disease areas offering potentially significant benefits such as improved safety, efficacy, patient compliance, ease of use, expanded indications or reduced cost. Our current product candidates are designed to advance medical management within cardiology, oncology and pulmonary disease through use of flexible and targeted delivery systems.    Our strategy is to leverage our proprietary microsphere technology to build a product portfolio for optimized drug delivery in a variety of medical applications while developing business partnerships to further product development and eventual commercialization.  "
"AdipoGenix, Inc.","ADIPOGENIX, INC.",Drug Development,801 Albany Street,Suite 112,,Boston,MA,02118,USA,"The mission of AdipoGenix is to discover, develop and commercialize novel therapeutics for the treatment of disorders of adipose tissue function such as obesity and diabetes.  The company believes that obesity can be treated effectively and safely at the level of the fat cell, rather than indirectly by modulating central nervous system mechanisms.  AdipoGenix has developed unique, primary, cellular, HTP-screening assays using the culture of human adipocytes and preadipocytes.  These primary cellular screens as well as sub-mitochondrial response screens, and engineered cellular screens are used with a strategy to maximize screening capacity at an early stage in the drug discovery process to identify relevant drug targets and leads."
Adnexus,ADNEXUS,Drug Development,100 Beaver St.,,,Waltham,MA,02453,USA,
Advanced Cell Technology,ADVANCED CELL TECHNOLOGY,Drug Development,33 Locke Dr. FL 1,,,Marlborough,MA,01752,USA,"Advanced Cell Technology, Inc. (OTCBB:ACTC – News) is applying stem cell technology in the field of regenerative medicine to bring effective, patient-specific therapies to the bedside. The company’s Myoblast program is an autologous adult stem cell therapy for the treatment of heart disease. The Myoblast program has successfully completed four Phase I clinical trials and has clearance from the FDA to begin Phase II trials shortly. The company is also rapidly moving towards human clinical trials for its embryonic stem cell therapies including its RPE and HG programs. ACT published positive data from animal studies for its RPE (retinal pigment epithelial) cell program for the treatment of retinal degenerative disorders completed in collaboration with the Casey Eye Institute at Oregon Health and Science University. The company also has GLP Safety Studies in process for its RPE Program. ACT published positive data in the journal NATURE Methods for its HG (hemangioblast) cell program for the treatment of blood and cardiovascular diseases. In August 2006, ACT announced a novel technique to generate embryonic stem cell lines without destroying embryos, a breakthrough in the ethical debate surrounding the industry. Less than one year later, the company announced the creation of a human embryonic stem cell line without destroying the embryo. ACT owns or licenses over 380 patents and patent applications."
Advanced Proteome Therapeutics Inc.,ADVANCED PROTEOME THERAPEUTICS INC.,Drug Development,"650 Albany Street, #113",,,Boston,MA,02118,USA,"Advanced Proteome Therapeutics Inc., is a research and development company whose principal business involves the modification and redevelopment of protein therapeutics, as well as other categories of proteins, in order to improve their commercial potential. The Company uses a combination of chemical and molecular biological techniques to enhance the performance of its protein targets."
"Advanced Technologies & Regenerative Medicine, LLC","ADVANCED TECHNOLOGIES & REGENERATIVE MEDICINE, LLC",Drug Development,325 Paramount Drive,,,Raynham,MA,02767,USA,
"AdvanDx, Inc.","ADVANDX, INC.",Human Diagnostic Development,400 Tradecenter Ste 6990,,,Woburn,MA,01801,USA,"AdvanDx is developing and marketing in vitro diagnostic kits for the diagnosis of infectious diseases based on its proprietary PNA FISH technology.  These kits will provide rapid and accurate identification of microorganisms potentially leading to better patient treatment, infection control, and healthcare management.  The current product line is intended for rapid and accurate identification of microorganisms in cultures."
"Aegerion Pharmaceuticals, Inc","AEGERION PHARMACEUTICALS, INC",Drug Development,101 Main Street,Suite 1850,,Cambridge,MA,02142,US,"Aegerion Pharmaceuticals aspires to change the way rare, genetic lipid disorders are treated. We are an emerging biopharmaceutical company focused on the development and commercialization of a novel life-altering therapeutic for debilitating and often fatal orphan diseases. The Company’s first product candidate in late-stage clinical development, lomitapide, is a small molecule, once-a-day, oral therapy to treat a severe form of hypercholesterolemia called HoFH.  "
"Aeris Therapeutics, LLC.","AERIS THERAPEUTICS, LLC.",Medical Device,10K Gill Street,,,Woburn,MA,01801,USA,Aeris Therapeutics is engaged in the development and commercialization of novel therapies for patients with emphysema and other lung diseases.     Aeris Therapeutics' lead product is the AeriSeal® System. It is intended to reduce lung volume in order to improve lung function and quality of life in patients with advanced emphysema.     Emphysema affects approximately 4 million patients in the United States and as many as 60 million patients worldwide.  
"AesRx, LLC","AESRX, LLC",Drug Development,275 Grove St.,Suite 2-400,,Newton,MA,02466,ESA,"AesRx is a biopharmaceutical company dedicated to the development of two novel drugs, each of which targets an orphan disease.     AesRx’s lead program, Aes-103, is a potential breakthrough in the treatment of sickle cell disease. AesRx has commenced clinical trials of Aes-103 in a collaboration with the NIH.     AesRx’s second development program, Aes-210, is targeted to treat certain inflammatory diseases of the lower intestine, including distal ulcerative colitis, pouchitis and radiation induced proctitis. Aes-210 is in Phase 2. "
"Affinity Life Sciences, Inc.","AFFINITY LIFE SCIENCES, INC.",Contract Research & Manufacturing,528 Route 13 South,,,Milford,NH,03055,USA,"Affinity Life Sciences is a contract manufacturing organization committed to providing scientific and quality expertise to meet the production demands of our customers.  Our unique services offer our customers a single source for identifying and supplying raw materials, product and process development, manufacturing capabilities, and quality services.    Affinity Life Sciences is a cGMP and ISO 13485 compliant company can provide custom services including in vitro diagnostic kit production, reagent formulation, vial/bulk reagent filling and labeling, kit assembly and labeling, and microplate coating of proteins, nucleic acids, cells, or other target molecules.  In addition we provide antibody purification and conjugation, as well as immunoassay design, development, production, and commercialization services.  Affinity Life Sciences also offers in vitro monoclonal antibody production and a range of cell culture services including recombinant protein production in CHO cells (or customer specified cell lines).    Whether your needs are for research, diagnostics, or pharmaceuticals, our faculty and staff will meet your production requirements."
Affomix Corporation,AFFOMIX CORPORATION,Research Products & Instrumentation,688 East Main Street,,,Branford,CT,06405,USA,"Affomix Corporation, located in Branford, CT, is developing technology that permits high throughput production and screening of antibodies, and was founded, in part, on research licensed by Affomix that was developed at a large pharmaceutical company. Two Yale scientists are co-founders.Affomix Corporation will produce comprehensive libraries to isolate antibodies against at least two epitopes of each of the vast majority of proteins in the human proteome (Affomix defines a complete set of these antibodies as an 'affomeTM&rsquo;). With such antibodies in hand, the Company&rsquo;s mission will be to generate high complexity antibody microarrays for simultaneous qualitative and quantitative analyses of literally thousands of different proteins. Such microarrays would be superior not only to existing antibody arrays but also, for many applications, to nucleic acid microarrays."
Agencourt Bioscience Corporation: A Beckman Coulter Company,AGENCOURT BIOSCIENCE CORPORATION: A BECKMAN COULTER COMPANY,Research Products & Instrumentation,"500 Cummings Center, Suite 2450",,,Beverly,MA,01915,USA,"Agencourt Bioscience Corporation a wholly owned subsidiary of Beckman Coulter Inc. is a leading developer, manufacturer and distributor of reagents, integrated automation systems and related supplies for the life science market.  We offer an array of competitively priced purification products compatible with many of today's high-end automation platforms. Our leading edge technology was developed and proven on 8 billion base pairs at the Whitehead Institute/MIT Center for Genome Research.    <p>  Agencourt's scientists have been instrumental in developing and implementing the technology needed to dramatically increase the througput of DNA Sequencing for Whitehead Institute/MIT. Agencourt offers its customers the following purification products:<p>  PCR Purification Kits<p>  Plasmid DNA Isolation Kits<p>  Sequencing Reaction Purification Kits<p>  Related Services And Supplies<p>  <p>  Agencourt provides industrial scale nucleic acid purification systems built by CCSPackard, a wholly owned subsidiary of Packard BioScience Company.  Agencourt has the most comprehensive integrated solution for nucleic acid purification. Our proprietary technology and industry proven solutions allows our customer to increase speed, reduce cost and improve quality.  <p>  For More information, please visit:  <a href=""http://www.agencourt.com"">www.agencourt.com</a> or <a href=""http://www.beckmancoulter.com"">www.beckmancoulter.com</a>"
Agenus,AGENUS,Drug Development,3 Forbes Road,,,Lexington,MA,02421,USA,"Agenus is a leading immunology company. Our objective is to combat serious illnesses: cancer, infections, autoimmune disorders and neurological diseases. Using proprietary technologies, our cutting-edge products are designed to improve upon conventional therapies by permitting a better quality of life and reducing side effects.  Our lead products include, Oncophage, QS-21, ATRA-IV and Aroplatin.    In the seven years since its inception, Agenus has achieved important milestones:    -Five products in clinical trials, including pivotal trials     -Five technology platforms     -More than 80 issued patents"
Agilux Laboratories Inc.,AGILUX LABORATORIES INC.,Contract Research & Manufacturing,Biotechnology Three,One Innovation Drive,,Worcester,MA,01605,USA,"Agilux Laboratories is a new LC/MS/MS bioanalytical CRO founded by industry veterans who believe that there&rsquo;s a better way to serve clients than current industry standards.  Our founders have over 50 years combined experience at Taylor Technology, Tandem, Advion, Charles River and other labs.  Throughout that time we&rsquo;ve strived to bring the best technology together with the fastest turnaround times and the highest level of service to meet each client&rsquo;s individual needs.  All that we&rsquo;ve learned comes together at Agilux: high throughput, multiplexed UPLCs paired with Sciex API MS/MS systems, a state-of-the-art purpose built facility in Worcester, MA, and operating systems designed to deliver results in half the time of the competition."
Agios Pharmaceuticals,AGIOS PHARMACEUTICALS,Drug Development,38 Sidney Street,,,Cambridge,MA,02139,USA,"Agios is s biopharmaceutical company at the forefront of one of the most exciting new areas of cancer research:  cancer metabolism.  Cancer metabolism represents a breakthrough understanding of how cancer cells become addicted to using more nutrients than normal cells to ensure their survival and growth.    Agios Pharmaceuticals is developing a deep pipeline of drug candidates that disrupt the growth and survival of cancer based on unique insights of the founders, scientific advisory board as well as building on decades of research in the fields of oncology and metabolism.    The company&rsquo;s initial focus is cancer, particularly targeting three key metabolic pathways &ndash; glycolysis (sugar metabolism), fatty acid metabolism, and autophagy (self-metabolism).  Agios&rsquo; primary focus is in oncology, but the company&rsquo;s platform will also be applicable to other therapeutics areas including autoimmune, inflammatory, and neurological diseases."
Agrenetics,AGRENETICS,Contract Research & Manufacturing,81 Salem Street,,,Wilmington,MA,01887,USA,Agrenetics is a Research &amp; Business Development Company which has developed a new proprietary method for the combinatorial synthesis of herbicides and small molecule drugs.  We are pursuing multiple applications and collaborations with this technology and seeking potential marketing partners for other &ldquo;spin-out&rdquo; technologies developed in-house or with collaborators.  We are also investigating a variety of natural product extracts for biological and industrial utility.  We have combined the resources of our in-house staff with the expertise of contracted experts chosen for their knowledge in specific R&amp;D and market sectors.
"Agrivida, Inc.","AGRIVIDA, INC.",Agricultural / Industrial Biotechnology,200 Boston Avenue,,,Medford,MA,02155,USA,Agrivida is an agricultural biotechnology company focused on making renewable feedstock for biofuels production.  Our plants enable rapid and efficient conversion of the cellulose in plant cell walls to simple sugars.  This innovation provides superior cost reduction in producing ethanol and other chemicals.
"Aileron Therapeutics, Inc.","AILERON THERAPEUTICS, INC.",Drug Development,281 Albany Street,,,Cambridge,MA,02139,USA,"Aileron Therapeutics is the leader in Stapled Peptides, a revolutionary new class of drugs for highly sought after disease areas including cancer, infectious disease, metabolic disease and immune/inflammatory diseases.     The company’s Stapled Peptides have demonstrated their unique ability to modulate both intracellular and extracellular protein-protein interactions, critical control points for most human diseases. Aileron is supported by leading venture capital firms and pharmaceutical venture investors, as well as a collaboration with Roche.     Aileron's drug development programs are rapidly advancing and the company is seeking exceptional individuals to join its talented team. Be part of the future of medicine. To learn more, please visit aileronrx.com/careers.php.  "
"Akrivis Technologies, LLC","AKRIVIS TECHNOLOGIES, LLC",Medical Device,,,,,,,,
"Alantos Pharmaceuticals, Inc.","ALANTOS PHARMACEUTICALS, INC.",Drug Development,840 Memorial Drive,,,Cambridge,MA,02139,USA,"Alantos is a drug discovery company developing a new combinatorial approach known as dynamic combinatorial chemistry. This approach was pioneered in the laboratory of Jean-Marie Lehn, Nobel Laureate for Chemistry (1987) and one of Alantos's founders, and in various other academic laboratories around the world. Dynamic combinatorial chemistry uses special types of libraries that can ""evolve"" via interaction with the biological target to produce preferentially or exclusively only those library components that bind tightly to the target and can further be converted into drug leads and development candidates. Alantos technology thus accelerates and advances the process of small molecule drug discovery via combination of synthesis and screening in a single step and alleviation of synthesis and handling of inactive compounds.  Alantos has its headquarters in Heidelberg, Germany and a research subsidiary in Cambridge, MA.  "
ALAXIA,ALAXIA,Drug Development,3-11 Rue de la Perlerie,,,Vaulx en Velin,France,69120,France,"Alaxia is a company developping airway solutions for respiratory diseases. Recently, its Meveol product, 1st product exiting the pipeline, has been recognised Orphan medicinal product for cystic fibrosis, CF, condition by both FDA & EMA. Meveol is both an antimicrobial and anti inflammatory product, targeting to kills strong bacteria (eg MRSA, P.Aeruginosa,...)."
Alexion Pharmaceuticals,ALEXION PHARMACEUTICALS,Drug Development,100 Technology Way,,,Smithfield,RI,02917,USA,"Alexion Manufacturing, LLC is a wholly owned subsidiary of Alexion Pharmaceuticals, Inc., a leading biotechnology company.  Alexion Manufacturing, formed in 2006, employs approximately 90 people at its Rhode Island facility and was created primarily to produce Soliris&trade; (eculizumab), a humanized antibody that blocks complement activity.  In 2007, Alexion obtained marketing approval in the U.S. and Europe for Soliris, its first product and the first treatment for paroxysmal nocturnal hemoglobinuria (PNH), a rare, disabling, and life-threatening, acquired genetic deficiency blood disorder defined by hemolysis, or destruction of red blood cells.  Hemolysis in patients with PNH may be associated with severe anemia and life-threatening blood clots, as well as debilitating fatigue, impaired quality of life, renal insufficiency, pain, and shortness of breath.   Alexion is also engaged in the discovery and development of new drug products, including other indications for Soliris as well as novel antibody therapeutics, aimed at treating patients with a wide array of severe disease states, including hematologic diseases, cancer, and autoimmune disorders."
Alfama Inc.,ALFAMA INC.,Drug Development,955 Massachusetts Ave,#581,,Cambridge,MA,02139,USA,"Alfama, Inc. is the World leader in the development of carbon monoxide releasing molecules (CORMs), effectively controlling all the relevant Intellectual Property in the field. Carbon monoxide (CO) is an endogenous molecule that is less toxic and less reactive than nitric oxide - with which it otherwise shares several properties. CORMs have repeatedly been shown to have striking therapeutic effects, as well as favorable safety profiles, and thus represent one of the most promising approaches to the treatment of various important diseases.  Alfama's current top priority is the treatment of Acute Liver Failure (ALF). Given adequate resources, the Company expects to take its lead molecule through phases I and II of clinical trials for acetaminophen-induced ALF in the next three-and-a-half years.  Alfama has a dual basis in the metropolitan areas of Boston (Mass.) and Lisbon (Portugal), with labs at both sites.  "
Algeta,ALGETA,Drug Development,245 First Street,Riverview II,18th Floor,Cambridge,MA, 02142,USA,Algeta is a company focused on developing novel targeted therapies for patients with cancer based on its alpha-pharmaceutical platform.  
Alkermes plc,ALKERMES PLC,Drug Development,852 Winter Street,,,Waltham,MA,02451,USA,"Alkermes plc is a fully integrated, global biopharmaceutical company that applies its scientific expertise and proprietary technologies to develop innovative medicines that improve patient outcomes. The company has a diversified portfolio of more than 20 commercial drug products and a substantial clinical pipeline of product candidates that address central nervous system (CNS) disorders such as addiction, schizophrenia and depression. Headquartered in Dublin, Ireland, Alkermes plc has an R&D center in Waltham, Massachusetts and manufacturing facilities in Athlone, Ireland; Gainesville, Georgia; and Wilmington, Ohio. For more information, please visit Alkermes' website at http://www.alkermes.com.   "
"Allegro Diagnostics, Inc.","ALLEGRO DIAGNOSTICS, INC.",Human Diagnostic Development,"6 Clock Tower Place, Suite 225",,,Maynard,MA,01754,USA,"Allegro Diagnostics is a molecular diagnostics company focused on the development and future sale of innovative genomic tests for the diagnosis, staging and guided treatment of lung cancer and other lung diseases. The first product the company plans to commercialize is the BronchoGen™ genomic biomarker test for use in combination with bronchoscopy for the diagnosis of lung cancer."
Allergan,ALLERGAN,Medical Device,"200 Boston Avenue, Suite 3700",,,Medford,MA,02155,USA,"Serica Technologies, Inc. is an early stage medical device company focused on the development of innovative technology to solve large unmet clinical needs in orthopaedic sports medicine.  Serica is pioneering the development of biologically engineered replacements for damaged or diseased soft tissue including the anterior cruciate ligament (ACL).       Venture capital backed, Serica is in a strong financial position to pursue the commercialization of its ligament and tendon replacement technologies currently in pre-clinical trials.       In addition to the company's core musculoskeletal products, Serica's unique multidisciplinary scientific-medical-engineering team approach and strong financial position has allowed the company to generate and in-license advanced technologies that support a broad product platform in plastic, urinary-gynecological and general surgery applications.       Serica's team consists of highly dedicated and motivated individuals committed to finding solutions in order to achieve success. Our broad range of technical, scientific and business backgrounds allows Serica to create a multidisciplinary approach while maintaining a team-based, cooperative, and open working environment.  To accommodate rapid growth and expansion, Serica is seeking highly motivated, dedicated, and hard working individuals who possess enthusiasm, energy and a strong commitment to success."
Allostera Pharma Inc.,ALLOSTERA PHARMA INC.,Drug Development,PO Box 7837,,,Nashua,NH,03060,USA,"Allostera Pharma Inc. is a venture capital funded biopharmaceutical company headquartered in Montreal that has developed an entirely new class of pre-clinical drugs, called Allosteramers. Allosteramers have three main properties: 1) they are ""allosteric"", meaning they do not bind to the same site as traditional drugs potentially providing better safety, efficacy and an entirely new set of patentable intellectual properties, 2) they can have predictable and consistent drug properties, and 3) they are designed to be orally available.     Allostera’s technology to develop Allosteramers, called Module X, allows target to lead generation of Allosteramers within months. Using its this platform, Allostera has developed several novel Allosteramers against different targets primarily focused on inflammation and autoimmunity including APG2305, an oral druginhibiting one of the most important targets in the autoimmune disease field, IL23R.        Commercialization Strategy & Financing Plans   ---------------------------------------------------------------------    Allostera was formed from technology developed by Sylvain Chemtob and Christiane Quiniou at CHU Ste-Justine, a hospital affiliate of the University of Montreal and exclusively licensed to Allostera. Allostera completed a $17M Series A financing in July 2009 and began formal operations.     Between its incorporation in 2005 and the start of formal operations in 2009, the Company raised just over $1M with a combination of grants, debt, and convertible debt. During that time, the company developed seven Allosteramers using its Module X technology. Both in vitro and In vivo animal data was developed for six of these products, supporting the proof-of-concept that Module X could result in active specific inhibitors of cytokine receptors.     In 2008 and 2009, specific oral bioavailability data was developed to supportthree of the products. In Q4 2009 Allostera entered into an agreement with a leading oral peptide drug delivery company to test the lead APG2305 product in large animal models of human oral drug delivery and to optimize the oral delivery formulation.     In 2010 Allostera plans to test the optimized APG2305 in a primate model of human drug delivery and will conduct safety studies required by the FDA, Health Canada and the EMEA prior to initiating human clinical studies.                 "
