BioMedtechTypeCopy,MA Bio Member,CompanyName,FName,LName,Title,AddressLine1,AddressLine2,City,State,Zip,NumEmplSt,address
Medical Device,,ACROMATIC PLASTICS,Peter,Crisci,President,32 Jungle Rd,,Leominster,MA,01453,32,"32 Jungle Rd, Leominster, MA 01453"
Drug Development,,ACTON PHARMACEUTICALS INC,John,Simon,CEO,225 Cedar Hill St,Suite 115,Marlborough,MA,01752,4,"225 Cedar Hill St Suite 115, Marlborough, MA 01752"
Medical Device,,ACUITYBIO CORP,Mark,Grinstaff,Co-Founder,200 Upland Rd,,Newton,MA,02460,0,"200 Upland Rd, Newton, MA 02460"
Drug Development,MA Bio Member,ACUSPHERE INC,Sherri,Oberg,President/CEO,99 Hayden Ave,Suite 385,Lexington,MA,02421,0,"99 Hayden Ave Suite 385, Lexington, MA 02421"
Medical Device,,ADAM EQUIPMENT INC,Tom,Storey,US Operations President,26 Commerce Dr,,Danbury,CT,06810,15,"26 Commerce Dr, Danbury, CT 06810"
Non-profit Research Institution,,ADDGENE INC,Melina,Fan,Executive Director,1 Kendall Sq,B7102,Cambridge,MA,02139,0,"1 Kendall Sq B7102, Cambridge, MA 02139"
Medical Device,,ADHESIVE TECHNOLOGIES INC,Peter,Melendy,CEO/Founder,3 Merrill Industrial Dr,,Hampton,NH,03842,0,"3 Merrill Industrial Dr, Hampton, NH 03842"
Contract Research & Manufacturing,,ADIMAB INC,Tillman,Gerngross,Co-Founder/CEO,7 Lucent Dr,,Lebanon,NH,03766,0,"7 Lucent Dr, Lebanon, NH 03766"
Drug Development,MA Bio Member,ADNEXUS A BRISTOL-MYERS SQUIBB R&D CO,Clifford,Bechtold,VP Strategic Operations,100 Beaver St,,Waltham,MA,02453,104,"100 Beaver St, Waltham, MA 02453"
Contract Research & Manufacturing,,ADVANCED BIOSCIENCE LABORATORIES INC,Rose,Marcheso-Hansen,Manager Regional Sales,,,,MA,,0,", , MA "
Research Products & Instrumentation,,ADVANCED BIOSCIENCE TECHNOLOGIES LLC,Vinay,Goel,CEO,PO Box 2504,,Acton,MA,01720,1,"PO Box 2504, Acton, MA 01720"
Drug Development,MA Bio Member,ADVANCED CELL TECHNOLOGY INC,Gary,Rabin,CEO,33 Locke Dr,,Marlborough,MA,01752,0,"33 Locke Dr, Marlborough, MA 01752"
Medical Device,,ADVANCED INSTRUMENTS INC,John,Caughlin,CEO/President,2 Technology Way,,Norwood,MA,02062,130,"2 Technology Way, Norwood, MA 02062"
Contract Research & Manufacturing,,ADVANCED PRECISION ENGINEERING INC,Alan,Soucy,President/CEO,19 Mitchell Road,P.O. Box 549,Ipswich,MA,01938,50,"19 Mitchell Road P.O. Box 549, Ipswich, MA 01938"
Drug Development,,ADVANCED PROTEOME THERAPEUTICS INC,Allen,Krantz,President/CEO/Director,650 Albany St,,Boston,MA,02118,0,"650 Albany St, Boston, MA 02118"
Human Diagnostic Development,MA Bio Member,ADVANDX INC,Thais,Johansen,President/CEO,400 TradeCenter,Suite 6990,Woburn,MA,01801,25,"400 TradeCenter Suite 6990, Woburn, MA 01801"
Medical Device,,ADVANSOURCE BIOMATERIALS CORP,Michael,Adams,President,229 Andover St,,Wilmington,MA,01887,22,"229 Andover St, Wilmington, MA 01887"
Drug Development,,ADVANTAGENE INC,Estuardo,Aguilar-Cordova,CEO/Chairman,440 Lexington St,,Auburndale,MA,02466,0,"440 Lexington St, Auburndale, MA 02466"
Human Diagnostic Development,,ADVIRNA LLC,Alexey,Wolfson,Co-Founder/CEO,,,Westborough,MA,,3,", Westborough, MA "
Drug Development,MA Bio Member,AEGERION PHARMACEUTICALS,Marc,Beer,CEO,101 Main St,Suite 1850,Cambridge,MA,02142,50,"101 Main St Suite 1850, Cambridge, MA 02142"
Medical Device,MA Bio Member,AERIS THERAPEUTICS LLC,David,Dove MD,President/CEO,10K Gill St,,Woburn,MA,01801,20,"10K Gill St, Woburn, MA 01801"
Drug Development,MA Bio Member,AESRX LLC,Stephen,Seiler,Founder/CEO,275 Grove St,Suite 2-400,Newton,MA,02466,0,"275 Grove St Suite 2-400, Newton, MA 02466"
Medical Device,,AFFINIMARK TECHNOLOGIES INC,Vincent,Pieribone,President,300 George St,Suite 561,New Haven,CT,06511,0,"300 George St Suite 561, New Haven, CT 06511"
Contract Research & Manufacturing,MA Bio Member,AFFINITY LIFE SCIENCES INC,Tod,Gavron,President,528 Rte 13 S,,Milford,NH,03055,10,"528 Rte 13 S, Milford, NH 03055"
Human Diagnostic Development,,AG MEDNET INC,Abraham,Gutman,President/CEO,2 Atlantic Avenue,,Boston,MA,02110,18,"2 Atlantic Avenue, Boston, MA 02110"
Contract Research & Manufacturing,,AG SCIENTIFIC INC,Larry,Lindgren,East Coast Office Director,29 Rogers Rd,,Yarmouth,ME,04096,4,"29 Rogers Rd, Yarmouth, ME 04096"
Medical Device,,AGAMATRIX INC,John,Alberico,CEO/Director,7 C Raymond Ave,,Salem,NH,03079,130,"7 C Raymond Ave, Salem, NH 03079"
Drug Development,MA Bio Member,AGENUS INC,Garo,Armen,Chairman/CEO,3 Forbes Rd,,Lexington,MA,02421,230,"3 Forbes Rd, Lexington, MA 02421"
Research Products & Instrumentation,MA Bio Member,AGILENT TECHNOLOGIES (FORMERLY BIOCIUS),Jennifer,Rossi,Director Marketing/Corp Comm,11 Audubon Road,,Wakefield,MA,01880,25,"11 Audubon Road, Wakefield, MA 01880"
Medical Device,,AGILITY MFG INC,Mike,McGreevy,President,279 Locust St,,Dover,NH,03820,50,"279 Locust St, Dover, NH 03820"
Contract Research & Manufacturing,,AGILUX LABORATORIES,Jim,Jersey,CEO,1 Innovation Dr,,Worcester,MA,01605,63,"1 Innovation Dr, Worcester, MA 01605"
Drug Development,MA Bio Member,AGIOS PHARMACEUTICALS INC,David,Schenkein,CEO,38 Sidney St,2nd Floor,Cambridge,MA,02139,78,"38 Sidney St 2nd Floor, Cambridge, MA 02139"
Agricultural/Industrial Biotechnology,MA Bio Member,AGRIVIDA INC,Mark,Wong,CEO,200 Boston Ave,,Medford,MA,02155,20,"200 Boston Ave, Medford, MA 02155"
Drug Development,,AIKO BIOTECHNOLOGY INC,Victor,Otley,Chairman,2 Union St,Suite 501,Portland,ME,04101,0,"2 Union St Suite 501, Portland, ME 04101"
Drug Development,MA Bio Member,AILERON THERAPEUTICS INC,Joseph,Yanchik,President/CEO,281 Albany St,,Cambridge,MA,02139,40,"281 Albany St, Cambridge, MA 02139"
Contract Research & Manufacturing,,AIR SYSTEMS TECHNOLOGIES INC,James,Sigler,President,33 Wales Ave,Suite A,Avon,MA,02322,15,"33 Wales Ave Suite A, Avon, MA 02322"
Medical Device,,ALBRIGHT TECHNOLOGIES INC,David,Comeau,President/Owner,25 Litchfield St,,Leominster,MA,01453,18,"25 Litchfield St, Leominster, MA 01453"
Drug Development,,ALC INOVATORS INC,,,,230 Pepe's Farm Rd,,Milford,CT,06460,6,"230 Pepe's Farm Rd, Milford, CT 06460"
Medical Device,,ALCOR SCIENTIFIC INC,Carlo,Ruggeri,CEO,11 Knight St,#F-23,Warwick,RI,02886,13,"11 Knight St #F-23, Warwick, RI 02886"
Drug Development,,ALCYONE LIFESCIENCES INC,P J,Anand,Founder/President/CEO,,,Ayer,MA,,0,", Ayer, MA "
Medical Device,,ALERCHEK INC,,,,15 Oak St,Suite 302,Springvale,ME,04083,5,"15 Oak St Suite 302, Springvale, ME 04083"
Human Diagnostic Development,,ALERE INC,Ron,Zwanziger,Chairman/CEO/President,51 Sawyer Rd,Suite 200,Waltham,MA,02453,100,"51 Sawyer Rd Suite 200, Waltham, MA 02453"
Drug Development,MA Bio Member,ALEXION PHARMACEUTICALS INC,Leonard,Bell,CEO,352 Knotter Dr,,Cheshire,CT,06410,0,"352 Knotter Dr, Cheshire, CT 06410"
Medical Device,,ALI MED INC,Julian,Cherubini,President,297 High St,,Dedham,MA,02026,220,"297 High St, Dedham, MA 02026"
Drug Development,MA Bio Member,ALKERMES INC,Richard,Pops,CEO,852 Winter St,,Waltham,MA,02451,200,"852 Winter St, Waltham, MA 02451"
Human Diagnostic Development,MA Bio Member,ALLEGRO DIAGNOSTICS INC,Michael,Webb,President/CEO,6 Clock Tower Pl,Suite 225,Maynard,MA,01754,0,"6 Clock Tower Pl Suite 225, Maynard, MA 01754"
Medical Device,,ALLEN MEDICAL SYSTEMS,Jason,Krieser,VP/GM,1 Post Office Sq,,Acton,MA,01720,0,"1 Post Office Sq, Acton, MA 01720"
Drug Development,,ALLENA PHARMACEUTICALS INC,Alexey,Margolin,CEO,One Newton Executive Pk,Suite 202,Newton,MA,02462,8,"One Newton Executive Pk Suite 202, Newton, MA 02462"
Contract Research & Manufacturing,,ALLOCURE INC,Robert,Brenner,President/CEO,25 Corporate Dr,Suite 360,Burlington,MA,01803,10,"25 Corporate Dr Suite 360, Burlington, MA 01803"
Drug Development,,ALLOSTEM THERAPEUTICS LLC,Uday,Khire,CEO,400 Farmington Ave,,Farmington,CT,06032,2,"400 Farmington Ave, Farmington, CT 06032"
Drug Development,MA Bio Member,ALNYLAM PHARMACEUTICALS INC,John,Maraganore,CEO,300 Third St,3rd Floor,Cambridge,MA,02142,180,"300 Third St 3rd Floor, Cambridge, MA 02142"
Medical Device,,ALOKA,David,Famiglietti,CEO/GM,10 Fairfield Blvd,,Wallingford,CT,06492,86,"10 Fairfield Blvd, Wallingford, CT 06492"
Disease Foundation,MA Bio Member,ALS THERAPY DEVELOPMENT INSTITUTE,Steve,Perrin,CEO,300 Technology Sq,Suite 400,Cambridge,MA,02139,45,"300 Technology Sq Suite 400, Cambridge, MA 02139"
Drug Development,,ALSERES PHARMACEUTICALS,Peter,Savas,Chairman/CEO,239 South St,,Hopkinton,MA,01748,28,"239 South St, Hopkinton, MA 01748"
Drug Development,MA Bio Member,AMAG PHARMACEUTICALS INC,Frank,Thomas,COO/Interim President/CEO,100 Hayden Ave,,Lexington,MA,02421,0,"100 Hayden Ave, Lexington, MA 02421"
Drug Development,,AMARIN PHARMA INC,Joseph,Zakrzewski,CEO,475 Bridge St,,Groton,CT,06340,16,"475 Bridge St, Groton, CT 06340"
Medical Device,,AMD GLOBAL TELEMEDICINE INC,Steven,Normandin,President,321 Billerica Rd,,Chelmsford,MA,01824,18,"321 Billerica Rd, Chelmsford, MA 01824"
Medical Device,,AMERICAD TECHNOLOGY CORP,Mark,Haslett,President/Marketing,700 Pleasant St,,Norwood,MA,02062,40,"700 Pleasant St, Norwood, MA 02062"
Medical Device,,AMERICAN AQUA SYSTEMS INC,Brooks,Porter,President,90 Dean Knauss Dr,S Ferry Industrial,Narragansett,RI,02882,5,"90 Dean Knauss Dr S Ferry Industrial, Narragansett, RI 02882"
Contract Research & Manufacturing,,AMERICAN BIOANALYTICAL INC,Vincent,Cooney,Owner,15 Erie Dr,,Natick,MA,01760,20,"15 Erie Dr, Natick, MA 01760"
Human Diagnostic Development,,AMERICAN DIAGNOSTICA INC,Kevin,Morrissey,President,500 West Ave,P O Box 110215,Stamford,CT,06911,40,"500 West Ave P O Box 110215, Stamford, CT 06911"
Medical Device,,AMERICAN INNOVATIVE RESEARCH CORP,David,Palmer,Founder/Chairman,19 Abbott St,,Andover,MA,01810,0,"19 Abbott St, Andover, MA 01810"
Agricultural/Industrial Biotechnology,,AMERICAN INTERNATIONAL CHEMICAL (AIC),Mark,Robertson,Marketing,135 Newbury St,,Framingham,MA,01701,44,"135 Newbury St, Framingham, MA 01701"
Research Products & Instrumentation,,AMERICAN LABORATORY PRODUCTS CO (ALPCO),Sean,Conley,President,26G Keewaydin Dr,,Salem,NH,03079,40,"26G Keewaydin Dr, Salem, NH 03079"
Medical Device,,AMERICAN SURGICAL CO,Erik,Piasio,Managing Director,82 Sanderson Ave,,Lynn,MA,01902,34,"82 Sanderson Ave, Lynn, MA 01902"
Drug Development,MA Bio Member,AMGEN INC,Kevin,Sharer,CEO,360 Binney St,,Cambridge,MA,02142,170,"360 Binney St, Cambridge, MA 02142"
Medical Device,,AMRI,,,,99 S Bedford St,,Burlington,MA,01803,0,"99 S Bedford St, Burlington, MA 01803"
Medical Device,,AMTI,Fred,Ruland,COO,176 Waltham St,,Watertown,MA,02472,40,"176 Waltham St, Watertown, MA 02472"
Medical Device,,ANALOGIC CORP,Jim,Green,President/CEO,8 Centennial Dr,,Peabody,MA,01960,800,"8 Centennial Dr, Peabody, MA 01960"
Medical Device,,ANALOX INSTRUMENTS USA INC,Martin,Widdowson,President,P O Box 208,,Lunenburg,MA,01462,2,"P O Box 208, Lunenburg, MA 01462"
Contract Research & Manufacturing,,ANALYTICAL BIOTECHNOLOGY SERVICES,Malcolm,Pluskal,Founder,19 Silver Hill Rd,,Acton,MA,01720,3,"19 Silver Hill Rd, Acton, MA 01720"
Drug Development,MA Bio Member,ANCHOR THERAPEUTICS INC,Stephen,Hunt,Acting President,67 Rogers St,,Cambridge,MA,02142,21,"67 Rogers St, Cambridge, MA 02142"
Medical Device,,ANDONIAN CRYOGENICS INC,Martin,Andonian,President/CFO,90 Hatch St,,New Bedford,MA,02745,10,"90 Hatch St, New Bedford, MA 02745"
Research Products & Instrumentation,,ANDOR TECHNOLOGY,Conor,Walsh,CEO,425 Sullivan Ave,Suite 3,S Windsor,CT,06074,26,"425 Sullivan Ave Suite 3, S Windsor, CT 06074"
Drug Development,MA Bio Member,ANIKA THERAPEUTICS INC,Charles,Sherwood,President/CEO,32 Wiggins Ave,,Bedford,MA,01730,50,"32 Wiggins Ave, Bedford, MA 01730"
Contract Research & Manufacturing,,ANIMAL RESEARCH CONSULTING LLC,Michele,Cunneen,President,841 Worcester Rd,#325,Natick,MA,01760,3,"841 Worcester Rd #325, Natick, MA 01760"
Contract Research & Manufacturing,,ANOMET PRODUCTS INC,Terry,Wong,President,830 Boston Tpk,,Shrewsbury,MA,01545,65,"830 Boston Tpk, Shrewsbury, MA 01545"
Contract Research & Manufacturing,,ANTERION THERAPEUTICS INC,,,,11 Vista Ave,,Salem,MA,01970,0,"11 Vista Ave, Salem, MA 01970"
Drug Development,MA Bio Member,ANTIGEN EXPRESS INC,Eric,von Hofe,President,1 Innovation Dr,,Worcestor,MA,01605,3,"1 Innovation Dr, Worcestor, MA 01605"
Drug Development,MA Bio Member,APHIOS CORP,Trevor,Castor,President/CEO,3-E Gill St,New Boston Park,Woburn,MA,01801,12,"3-E Gill St New Boston Park, Woburn, MA 01801"
Medical Device,,APOGEE TECHNOLOGY INC,Herbert,Stein,CEO/President,129 Morgan Dr,,Norwood,MA,02062,6,"129 Morgan Dr, Norwood, MA 02062"
Research Products & Instrumentation,,APPLIED BIOSYSTEMS INC,,,,35 Wiggins Ave,,Bedford,MA,01730,106,"35 Wiggins Ave, Bedford, MA 01730"
Medical Device,,APPLIED PLASTICS CO INC,Frank,Ring,President,25 Endicott St,P O Box 128,Norwood,MA,02062,34,"25 Endicott St P O Box 128, Norwood, MA 02062"
Contract Research & Manufacturing,MA Bio Member,APREDICA,Katya,Tsaioun,President,313 Pleasant St,,Watertown,MA,02472,13,"313 Pleasant St, Watertown, MA 02472"
Medical Device,MA Bio Member,APTIV SOLUTIONS,Vicki,Anastasi,SVP Medical Devices,49 Plain St,,N Attleboro,MA,02760,50,"49 Plain St, N Attleboro, MA 02760"
Agricultural/Industrial Biotechnology,MA Bio Member,AQUA BOUNTY TECHNOLOGIES,Ronald,Stotish,Executive Director/President/CEO,,,Maynard,MA,01754,0,", Maynard, MA 01754"
Agricultural/Industrial Biotechnology,,AQUA LABORATORIES INC,Thomas,Cass,President,8 Industrial Way,Box 645,Amesbury,MA,01913,13,"8 Industrial Way Box 645, Amesbury, MA 01913"
Medical Device,,AQUA MASSAGE INTERNATIONAL INC,David,Cote,President,1101 Noank Ledyard Rd,,Mystic,CT,06355,9,"1101 Noank Ledyard Rd, Mystic, CT 06355"
Agricultural/Industrial Biotechnology,,ARCANATURA LLC,Serge,Martinod,President,1084 Shennecossett Rd,,Groton,CT,06340,4,"1084 Shennecossett Rd, Groton, CT 06340"
Medical Device,,ARCH LIGHTING GROUP INC,,,,30 Sherwood Dr,,Taunton,MA,02780,30,"30 Sherwood Dr, Taunton, MA 02780"
Drug Development,MA Bio Member,ARIAD PHARMACEUTICALS INC,Harvey,Berger,Chairman/CEO,26 Landsdowne St,,Cambridge,MA,02139,135,"26 Landsdowne St, Cambridge, MA 02139"
Drug Development,MA Bio Member,ARISAPH PHARMACEUTICALS INC,Christopher,Kiritsy,President/CEO,100 High St,Suite 1202,Boston,MA,02110,5,"100 High St Suite 1202, Boston, MA 02110"
Academic,,ARLUK TECHNOLOGIES LLC DBA ROBOTECH CENTER,Naveena,Swamy,Founder,3i Taggart Dr,Green Ridge Park,Nashua,NH,03060,5,"3i Taggart Dr Green Ridge Park, Nashua, NH 03060"
Agricultural/Industrial Biotechnology,,AROOSTOOK TESTING AND CONSULTING LABORATORY INC,G N,Currie II Ph D,President,160 Airport Dr,,Presque Isle,ME,04769,7,"160 Airport Dr, Presque Isle, ME 04769"
Human Diagnostic Development,,ARP - AMERICAN RESEARCH PRODUCTS INC,Peter,Souw,President,135 Beaver St,Suite 204,Waltham,MA,02452,5,"135 Beaver St Suite 204, Waltham, MA 02452"
Drug Development,MA Bio Member,ARQULE INC,Paolo,Pucci,CEO,19 Presidential Way,,Woburn,MA,01801,115,"19 Presidential Way, Woburn, MA 01801"
Drug Development,,ARRIEN PHARMACEUTICALS LLC,Rajendra,Appalaneni,Chairman/CEO,121 Wakelee Ave,,Ansonia,CT,06401,3,"121 Wakelee Ave, Ansonia, CT 06401"
Medical Device,MA Bio Member,ARSENAL MEDICAL,Duke,Collier,Executive Chairman,480 Arsenal St,,Watertown,MA,02172,0,"480 Arsenal St, Watertown, MA 02172"
Medical Device,,ARTHROSURFACE,Steven,Tallarida,President,28 Forge Pkwy,,Franklin,MA,02038,0,"28 Forge Pkwy, Franklin, MA 02038"
Contract Research & Manufacturing,,ARTIFICIAL CELL TECHNOLOGIES INC,Donald,Masters,President/CEO,5 Science Park,Suite 13,New Haven,CT,06511,,"5 Science Park Suite 13, New Haven, CT 06511"
Contract Research & Manufacturing,,ARVYS PROTEINS INC,Yelena,Sheptovitsky,President,76 Progress Dr,,Stamford,CT,06902,10,"76 Progress Dr, Stamford, CT 06902"
Drug Development,MA Bio Member,ASAHI KASEI PHARMA AMERICA CORP,Naoyuki,Ono,President/CEO,200 Fifth Avenue,,Waltham,MA,02451,20,"200 Fifth Avenue, Waltham, MA 02451"
Contract Research & Manufacturing,MA Bio Member,ASAMAN INC,Elvis,Usumanu,President,258 Bodwell St,,Avon,MA,02322,11,"258 Bodwell St, Avon, MA 02322"
Contract Research & Manufacturing,MA Bio Member,ASH STEVENS INC,James,Hamby,Vice President,1 Broadway,14th Floor,Cambridge,MA,02142,65,"1 Broadway 14th Floor, Cambridge, MA 02142"
Medical Device,,ASIA MEDSOURCE,Jeremy,Shepard,President,88 Goodwin Rd,,Eliot,ME,03903,5,"88 Goodwin Rd, Eliot, ME 03903"
Contract Research & Manufacturing,,ASISCHEM INC,Phill,Jones,Business Dev't Director,738 Main St #205,,Waltham,MA,02451,4,"738 Main St #205, Waltham, MA 02451"
Agricultural/Industrial Biotechnology,,ASPEN SYSTEMS INC,,,,184 Cedar Hill St,,Marlborough,MA,01752,30,"184 Cedar Hill St, Marlborough, MA 01752"
Research Products & Instrumentation,,ASSAY GURU,Rich,Tula,President/CEO,245 Constitution Dr,,Taunton,MA,02780,20,"245 Constitution Dr, Taunton, MA 02780"
Medical Device,,ASSOCIATED X-RAY IMAGING CORP,John,Olenio,President,49 Newark St,,Haverhill,MA,01830,40,"49 Newark St, Haverhill, MA 01830"
Research Products & Instrumentation,MA Bio Member,ASSOCIATES OF CAPE COD INC,AJ,Meuse,President/CEO,124 Bernard E Saint Jean Dr,,E Falmouth,MA,02536,125,"124 Bernard E Saint Jean Dr, E Falmouth, MA 02536"
Medical Device,,AST PRODUCTS INC,Matt,Connolly,Product Manager,9 Linnell Cir,,Billerica,MA,01821,18,"9 Linnell Cir, Billerica, MA 01821"
Drug Development,,ASTERAND INC,Victor,Zevallos,Director Sales,231 White St,,Belmont,MA,02478,1,"231 White St, Belmont, MA 02478"
Medical Device,,ASTIR TECHNOLOGIES,Chris,McNulty,President,1679 Lowell Rd,,Concord,MA,01742,2,"1679 Lowell Rd, Concord, MA 01742"
Medical Device,,ASTRATECH INC,,,,590 Lincoln St,,Waltham,MA,02451,105,"590 Lincoln St, Waltham, MA 02451"
Drug Development,MA Bio Member,ASTRAZENECA PHARMACEUTICALS LP,John,Hennessy,Executive Director/Site General Manager,35 Gatehouse Dr,,Waltham,MA,02451,0,"35 Gatehouse Dr, Waltham, MA 02451"
Medical Device,,ATECH DESIGNS INC,Karl,Leinsing,President,3 Playhouse Cir,,Hampton,NH,03842,5,"3 Playhouse Cir, Hampton, NH 03842"
Human Diagnostic Development,MA Bio Member,ATHENA DIAGNOSTICS INC,Michael,Henry,VP Business Dev't,377 Plantation St,4 Biotech Park,Worcester,MA,01605,125,"377 Plantation St 4 Biotech Park, Worcester, MA 01605"
Contract Research & Manufacturing,,ATKINSON THIN FILM SYSTEMS INC,Jack,Bradshaw,President/CEO,25 Garland Dr,,Hampstead,NH,03841,4,"25 Garland Dr, Hampstead, NH 03841"
Contract Research & Manufacturing,,ATMI INC,Doug,Neugold,Chairman/CEO/President,7 Commerce Dr,,Danbury,CT,06810,170,"7 Commerce Dr, Danbury, CT 06810"
Medical Device,,ATRIUM MEDICAL CORP,Trevor,Carlton,President,5 Wentworth Dr,,Hudson,NH,03051,270,"5 Wentworth Dr, Hudson, NH 03051"
Medical Device,,ATS LABORATORIES INC,Lynda,Hammond,President,404 Knowlton St,,Bridgeport,CT,06608,8,"404 Knowlton St, Bridgeport, CT 06608"
Medical Device,,AUDAX MEDICAL INC,Mark,Johanson,Founder/President/CEO,119 Russell St,Suite 4,Littleton,MA,01460,0,"119 Russell St Suite 4, Littleton, MA 01460"
Medical Device,,AUGMENIX INC,Amar,Sawhney,Founder,204 2nd Ave,Lower Level,Waltham,MA,02451,,"204 2nd Ave Lower Level, Waltham, MA 02451"
Medical Device,,AUGMENTRX LIFE SCIENCES,Stuart,Smyth,Founder/CEO,43 Riverside Ave,Suite 444,Medford,MA,02155,3,"43 Riverside Ave Suite 444, Medford, MA 02155"
Drug Development,MA Bio Member,AURA BIOSCIENCES INC,Elisabet,de los Pinos,Founder/CEO,85 Bolton St,,Cambridge,MA,02140,0,"85 Bolton St, Cambridge, MA 02140"
Research Products & Instrumentation,MA Bio Member,AUSHON BIOSYSTEMS INC,Peter,Honkanen,CEO,43 Manning Rd,,Billerica,MA,01821,45,"43 Manning Rd, Billerica, MA 01821"
Disease Foundation,MA Bio Member,AUTISM CONSORTIUM,Deirdre,Phillips,Executive Director,10 Shattuck St,Suite 249,Boston,MA,02115,0,"10 Shattuck St Suite 249, Boston, MA 02115"
Research Products & Instrumentation,,AUTOGEN,Robert,Sullivan,President,84 October Hill Rd,,Holliston,MA,01746,10,"84 October Hill Rd, Holliston, MA 01746"
Medical Device,,AUTOMATED MEDICAL INSTRUMENTS INC,Martin,Sklar,President/CEO,60 Richard Road,,Needham,MA,02492,1,"60 Richard Road, Needham, MA 02492"
Drug Development,MA Bio Member,AVAXIA BIOLOGICS INC,Barbara,Fox,CEO,128 Spring St,Suite 620,Lexington,MA,02421,11,"128 Spring St Suite 620, Lexington, MA 02421"
